celltype,cluster,Term,Overlap,n.hit,n.tot,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
beta,1,establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197),2/34,2,34,0.0432660102127996,0.38709361627647,0,0,6.03318250377074,18.9465335491567,ANK1;PARD3B
beta,1,peptidyl-tyrosine phosphorylation (GO:0018108),3/80,3,80,0.0434146557643852,0.38709361627647,0,0,3.84615384615385,12.0652238632951,GHR;NTRK1;TTBK1
beta,1,negative regulation of DNA binding (GO:0043392),2/35,2,35,0.0456004195679788,0.38709361627647,0,0,5.86080586080586,18.0972211660188,ID2;ID3
beta,1,negative regulation of binding (GO:0051100),3/83,3,83,0.0475485706654917,0.38709361627647,0,0,3.70713623725672,11.2919501392165,ID2;ID3;TTBK1
beta,1,regulation of heart rate by cardiac conduction (GO:0086091),2/36,2,36,0.0479802579894448,0.38709361627647,0,0,5.6980056980057,17.3046475473762,KCNH2;KCNA5
beta,1,regulation of cardiac muscle contraction (GO:0055117),2/36,2,36,0.0479802579894448,0.38709361627647,0,0,5.6980056980057,17.3046475473762,PDE4B;SRI
beta,1,negative regulation of neuron death (GO:1901215),3/84,3,84,0.048968135198994,0.38709361627647,0,0,3.66300366300366,11.0497637160108,NTRK1;NDNF;TP73
beta,1,regulation of potassium ion transport (GO:0043266),2/37,2,37,0.0504044278170213,0.38709361627647,0,0,5.54400554400554,16.5636937172634,KCNH2;KCNA5
beta,1,regulation of filopodium assembly (GO:0051489),2/37,2,37,0.0504044278170213,0.38709361627647,0,0,5.54400554400554,16.5636937172634,DPYSL3;AGRN
beta,1,regulation of blood circulation (GO:1903522),2/37,2,37,0.0504044278170213,0.38709361627647,0,0,5.54400554400554,16.5636937172634,ACE;SRI
beta,1,regulation of cysteine-type endopeptidase activity (GO:2000116),2/37,2,37,0.0504044278170213,0.38709361627647,0,0,5.54400554400554,16.5636937172634,CST3;TTBK1
beta,1,regulation of neuron differentiation (GO:0045664),3/85,3,85,0.0504083042602592,0.38709361627647,0,0,3.61990950226244,10.8148392774979,IMPACT;ID2;ID3
beta,1,regulation of metal ion transport (GO:0010959),2/38,2,38,0.0528718482862906,0.38709361627647,0,0,5.39811066126856,15.869820514283,KCNA5;SRI
beta,1,membrane depolarization during action potential (GO:0086010),2/39,2,39,0.0553814553140186,0.38709361627647,0,0,5.25969756738988,15.218990048082,KCNH2;NALCN
beta,1,positive regulation of neuron death (GO:1901216),2/39,2,39,0.0553814553140186,0.38709361627647,0,0,5.25969756738988,15.218990048082,EGR1;FOS
beta,1,mRNA 5'-splice site recognition (GO:0000395),1/6,1,6,0.0570991779681553,0.38709361627647,0,0,17.0940170940171,48.9395822013393,SRSF12
beta,1,regulation of cellular carbohydrate catabolic process (GO:0043471),1/6,1,6,0.0570991779681553,0.38709361627647,0,0,17.0940170940171,48.9395822013393,PPP1R3B
beta,1,response to heparin (GO:0071503),1/6,1,6,0.0570991779681553,0.38709361627647,0,0,17.0940170940171,48.9395822013393,EGR1
beta,1,dosage compensation by inactivation of X chromosome (GO:0009048),1/6,1,6,0.0570991779681553,0.38709361627647,0,0,17.0940170940171,48.9395822013393,PCGF3
beta,1,positive regulation of microglial cell activation (GO:1903980),1/6,1,6,0.0570991779681553,0.38709361627647,0,0,17.0940170940171,48.9395822013393,TTBK1
beta,1,regulation of aldosterone biosynthetic process (GO:0032347),1/6,1,6,0.0570991779681553,0.38709361627647,0,0,17.0940170940171,48.9395822013393,WNT4
beta,1,"heparan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process (GO:0015014)",1/6,1,6,0.0570991779681553,0.38709361627647,0,0,17.0940170940171,48.9395822013393,NDST3
beta,1,regulation of male gonad development (GO:2000018),1/6,1,6,0.0570991779681553,0.38709361627647,0,0,17.0940170940171,48.9395822013393,WNT4
beta,1,regulation of cortisol biosynthetic process (GO:2000064),1/6,1,6,0.0570991779681553,0.38709361627647,0,0,17.0940170940171,48.9395822013393,WNT4
beta,1,negative regulation of neural precursor cell proliferation (GO:2000178),1/6,1,6,0.0570991779681553,0.38709361627647,0,0,17.0940170940171,48.9395822013393,ID2
beta,1,choline catabolic process (GO:0042426),1/6,1,6,0.0570991779681553,0.38709361627647,0,0,17.0940170940171,48.9395822013393,DMGDH
beta,1,mesenchymal cell differentiation involved in kidney development (GO:0072161),1/6,1,6,0.0570991779681553,0.38709361627647,0,0,17.0940170940171,48.9395822013393,WNT4
beta,1,hematopoietic stem cell differentiation (GO:0060218),1/6,1,6,0.0570991779681553,0.38709361627647,0,0,17.0940170940171,48.9395822013393,ACE
beta,1,regulation of relaxation of cardiac muscle (GO:1901897),1/6,1,6,0.0570991779681553,0.38709361627647,0,0,17.0940170940171,48.9395822013393,PDE4B
beta,1,citrate metabolic process (GO:0006101),1/6,1,6,0.0570991779681553,0.38709361627647,0,0,17.0940170940171,48.9395822013393,GHR
beta,1,regulation of renal sodium excretion (GO:0035813),1/6,1,6,0.0570991779681553,0.38709361627647,0,0,17.0940170940171,48.9395822013393,CORIN
beta,1,regulation of blood vessel remodeling (GO:0060312),1/6,1,6,0.0570991779681553,0.38709361627647,0,0,17.0940170940171,48.9395822013393,CST3
beta,1,positive regulation of blood pressure (GO:0045777),1/6,1,6,0.0570991779681553,0.38709361627647,0,0,17.0940170940171,48.9395822013393,ID2
beta,1,alpha-beta T cell activation (GO:0046631),1/6,1,6,0.0570991779681553,0.38709361627647,0,0,17.0940170940171,48.9395822013393,RSAD2
beta,1,pyrimidine deoxyribonucleotide biosynthetic process (GO:0009221),1/6,1,6,0.0570991779681553,0.38709361627647,0,0,17.0940170940171,48.9395822013393,CMPK2
beta,1,regulation of neuron apoptotic process (GO:0043523),3/90,3,90,0.0579138676415762,0.38709361627647,0,0,3.41880341880342,9.73948175338111,NTRK1;NDNF;TP73
beta,1,peptidyl-threonine modification (GO:0018210),3/90,3,90,0.0579138676415762,0.38709361627647,0,0,3.41880341880342,9.73948175338111,GALNT12;STK33;TTBK1
beta,1,regulation of Ras protein signal transduction (GO:0046578),3/91,3,91,0.0594750065500517,0.38709361627647,0,0,3.38123415046492,9.54251601914437,NTRK1;RASGRF1;AGAP3
beta,1,phosphatidic acid biosynthetic process (GO:0006654),2/41,2,41,0.0605230546727095,0.38709361627647,0,0,5.00312695434647,14.0324248533497,GPD1;LPCAT1
beta,1,positive regulation of Ras protein signal transduction (GO:0046579),2/41,2,41,0.0605230546727095,0.38709361627647,0,0,5.00312695434647,14.0324248533497,NTRK1;RASGRF1
beta,1,phosphatidic acid metabolic process (GO:0046473),2/42,2,42,0.0631530001913171,0.38709361627647,0,0,4.88400488400488,13.490573491313,GPD1;LPCAT1
beta,1,positive regulation of multicellular organism growth (GO:0040018),1/7,1,7,0.0662952001514259,0.38709361627647,0,0,14.6520146520147,39.760260517467,GHR
beta,1,regulation of atrial cardiac muscle cell membrane repolarization (GO:0060372),1/7,1,7,0.0662952001514259,0.38709361627647,0,0,14.6520146520147,39.760260517467,KCNA5
beta,1,regulation of hormone biosynthetic process (GO:0046885),1/7,1,7,0.0662952001514259,0.38709361627647,0,0,14.6520146520147,39.760260517467,EGR1
beta,1,thiamine-containing compound metabolic process (GO:0042723),1/7,1,7,0.0662952001514259,0.38709361627647,0,0,14.6520146520147,39.760260517467,THTPA
beta,1,regulation of cardiac muscle cell membrane potential (GO:0086036),1/7,1,7,0.0662952001514259,0.38709361627647,0,0,14.6520146520147,39.760260517467,EHD3
beta,1,oxaloacetate metabolic process (GO:0006107),1/7,1,7,0.0662952001514259,0.38709361627647,0,0,14.6520146520147,39.760260517467,GHR
beta,1,regulation of endothelial cell chemotaxis to fibroblast growth factor (GO:2000544),1/7,1,7,0.0662952001514259,0.38709361627647,0,0,14.6520146520147,39.760260517467,FGF18
beta,1,regulation of tube diameter (GO:0035296),1/7,1,7,0.0662952001514259,0.38709361627647,0,0,14.6520146520147,39.760260517467,ACE
beta,1,nucleoside diphosphate metabolic process (GO:0009132),1/7,1,7,0.0662952001514259,0.38709361627647,0,0,14.6520146520147,39.760260517467,CMPK2
beta,1,female gonad development (GO:0008585),1/7,1,7,0.0662952001514259,0.38709361627647,0,0,14.6520146520147,39.760260517467,WNT4
beta,1,valine metabolic process (GO:0006573),1/7,1,7,0.0662952001514259,0.38709361627647,0,0,14.6520146520147,39.760260517467,GHR
beta,1,negative regulation of synapse organization (GO:1905809),1/7,1,7,0.0662952001514259,0.38709361627647,0,0,14.6520146520147,39.760260517467,SLIT1
beta,1,AMP metabolic process (GO:0046033),1/7,1,7,0.0662952001514259,0.38709361627647,0,0,14.6520146520147,39.760260517467,ADSSL1
beta,1,regulation of toll-like receptor 9 signaling pathway (GO:0034163),1/7,1,7,0.0662952001514259,0.38709361627647,0,0,14.6520146520147,39.760260517467,RSAD2
beta,1,SA node cell action potential (GO:0086015),1/7,1,7,0.0662952001514259,0.38709361627647,0,0,14.6520146520147,39.760260517467,KCNA5
beta,1,regulation of chemokine biosynthetic process (GO:0045073),1/7,1,7,0.0662952001514259,0.38709361627647,0,0,14.6520146520147,39.760260517467,EGR1
beta,1,regulation of microglial cell activation (GO:1903978),1/7,1,7,0.0662952001514259,0.38709361627647,0,0,14.6520146520147,39.760260517467,TTBK1
beta,1,excitatory chemical synaptic transmission (GO:0098976),1/7,1,7,0.0662952001514259,0.38709361627647,0,0,14.6520146520147,39.760260517467,SHISA6
beta,1,regulation of systemic arterial blood pressure by renin-angiotensin (GO:0003081),1/7,1,7,0.0662952001514259,0.38709361627647,0,0,14.6520146520147,39.760260517467,ACE
beta,1,negative regulation of heart rate (GO:0010459),1/7,1,7,0.0662952001514259,0.38709361627647,0,0,14.6520146520147,39.760260517467,SRI
beta,1,regulation of relaxation of muscle (GO:1901077),1/7,1,7,0.0662952001514259,0.38709361627647,0,0,14.6520146520147,39.760260517467,SRI
beta,1,L-methionine salvage (GO:0071267),1/7,1,7,0.0662952001514259,0.38709361627647,0,0,14.6520146520147,39.760260517467,BHMT2
beta,1,cAMP catabolic process (GO:0006198),1/7,1,7,0.0662952001514259,0.38709361627647,0,0,14.6520146520147,39.760260517467,PDE4B
beta,1,membrane depolarization (GO:0051899),2/44,2,44,0.0685261847488262,0.38709361627647,0,0,4.66200466200466,12.4966869354285,KCNH2;NALCN
beta,1,ciliary basal body-plasma membrane docking (GO:0097711),3/97,3,97,0.0692501751794319,0.38709361627647,0,0,3.17208564631245,8.46956258287392,C2CD3;CEP41;CC2D2A
beta,1,positive regulation of neuron projection development (GO:0010976),3/98,3,98,0.0709460250364715,0.38709361627647,0,0,3.13971742543171,8.3071770857189,NTRK1;DPYSL3;NDNF
beta,1,heart contraction (GO:0060047),2/45,2,45,0.0712674711817085,0.38709361627647,0,0,4.55840455840456,12.0401836140148,KCNH2;ACE
beta,1,regulation of steroid biosynthetic process (GO:0050810),2/45,2,45,0.0712674711817085,0.38709361627647,0,0,4.55840455840456,12.0401836140148,EGR1;WNT4
beta,1,metal ion homeostasis (GO:0055065),2/46,2,46,0.0740439441007982,0.38709361627647,0,0,4.45930880713489,11.6080112500812,KCNH2;SLC7A8
beta,1,exocyst localization (GO:0051601),1/8,1,8,0.0754019913034441,0.38709361627647,0,0,12.8205128205128,33.1400204417559,EXOC3
beta,1,Golgi to lysosome transport (GO:0090160),1/8,1,8,0.0754019913034441,0.38709361627647,0,0,12.8205128205128,33.1400204417559,EHD3
beta,1,establishment of protein localization to chromatin (GO:0071169),1/8,1,8,0.0754019913034441,0.38709361627647,0,0,12.8205128205128,33.1400204417559,H2AFY2
beta,1,neuron projection extension involved in neuron projection guidance (GO:1902284),1/8,1,8,0.0754019913034441,0.38709361627647,0,0,12.8205128205128,33.1400204417559,SLIT1
beta,1,histone H2A-K119 monoubiquitination (GO:0036353),1/8,1,8,0.0754019913034441,0.38709361627647,0,0,12.8205128205128,33.1400204417559,PCGF3
beta,1,nucleoside diphosphate phosphorylation (GO:0006165),1/8,1,8,0.0754019913034441,0.38709361627647,0,0,12.8205128205128,33.1400204417559,CMPK2
beta,1,response to epinephrine (GO:0071871),1/8,1,8,0.0754019913034441,0.38709361627647,0,0,12.8205128205128,33.1400204417559,PDE4B
beta,1,cellular biogenic amine catabolic process (GO:0042402),1/8,1,8,0.0754019913034441,0.38709361627647,0,0,12.8205128205128,33.1400204417559,DMGDH
beta,1,development of primary female sexual characteristics (GO:0046545),1/8,1,8,0.0754019913034441,0.38709361627647,0,0,12.8205128205128,33.1400204417559,WNT4
beta,1,organophosphate catabolic process (GO:0046434),1/8,1,8,0.0754019913034441,0.38709361627647,0,0,12.8205128205128,33.1400204417559,PON1
beta,1,asymmetric protein localization (GO:0008105),1/8,1,8,0.0754019913034441,0.38709361627647,0,0,12.8205128205128,33.1400204417559,PARD3B
beta,1,nucleotide phosphorylation (GO:0046939),1/8,1,8,0.0754019913034441,0.38709361627647,0,0,12.8205128205128,33.1400204417559,CMPK2
beta,1,arachidonic acid secretion (GO:0050482),1/8,1,8,0.0754019913034441,0.38709361627647,0,0,12.8205128205128,33.1400204417559,ACE
beta,1,axon extension involved in axon guidance (GO:0048846),1/8,1,8,0.0754019913034441,0.38709361627647,0,0,12.8205128205128,33.1400204417559,SLIT1
beta,1,atrial cardiac muscle cell to AV node cell signaling (GO:0086026),1/8,1,8,0.0754019913034441,0.38709361627647,0,0,12.8205128205128,33.1400204417559,KCNA5
beta,1,mammary gland epithelial cell differentiation (GO:0060644),1/8,1,8,0.0754019913034441,0.38709361627647,0,0,12.8205128205128,33.1400204417559,ID2
beta,1,regulation of T-helper 2 cell cytokine production (GO:2000551),1/8,1,8,0.0754019913034441,0.38709361627647,0,0,12.8205128205128,33.1400204417559,RSAD2
beta,1,cellular response to epinephrine stimulus (GO:0071872),1/8,1,8,0.0754019913034441,0.38709361627647,0,0,12.8205128205128,33.1400204417559,PDE4B
beta,1,angiogenesis involved in wound healing (GO:0060055),1/8,1,8,0.0754019913034441,0.38709361627647,0,0,12.8205128205128,33.1400204417559,NDNF
beta,1,succinate metabolic process (GO:0006105),1/8,1,8,0.0754019913034441,0.38709361627647,0,0,12.8205128205128,33.1400204417559,GHR
beta,1,arachidonate transport (GO:1903963),1/8,1,8,0.0754019913034441,0.38709361627647,0,0,12.8205128205128,33.1400204417559,ACE
beta,1,icosanoid metabolic process (GO:0006690),2/47,2,47,0.0768546650601394,0.38709361627647,0,0,4.36442989634479,11.1984249095028,PON3;PON1
beta,1,metal ion transport (GO:0030001),3/102,3,102,0.0779140961899669,0.38709361627647,0,0,3.01659125188537,7.69878850709178,KCNA5;KCNK17;KCNA6
beta,1,response to glucose (GO:0009749),2/48,2,48,0.0796987104196546,0.38709361627647,0,0,4.27350427350427,10.8098370672983,EIF2B2;KLRG1
beta,1,endosome to lysosome transport (GO:0008333),2/49,2,49,0.0825751711274607,0.38709361627647,0,0,4.18628990057561,10.4408005664853,SNAPIN;M6PR
beta,1,intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630),2/49,2,49,0.0825751711274607,0.38709361627647,0,0,4.18628990057561,10.4408005664853,CIDEB;TP73
beta,1,regulation of cell cycle arrest (GO:0071156),2/49,2,49,0.0825751711274607,0.38709361627647,0,0,4.18628990057561,10.4408005664853,ID2;TP73
beta,1,monovalent inorganic cation transport (GO:0015672),3/105,3,105,0.0833294360983888,0.38709361627647,0,0,2.93040293040293,7.2819147771456,KCNA5;KCNK17;KCNA6
beta,1,myeloid leukocyte mediated immunity (GO:0002444),1/9,1,9,0.0844204124867777,0.38709361627647,0,0,11.3960113960114,28.170325384769,ACE
beta,1,nucleoside triphosphate biosynthetic process (GO:0009142),1/9,1,9,0.0844204124867777,0.38709361627647,0,0,11.3960113960114,28.170325384769,CMPK2
beta,1,regulation of Rac protein signal transduction (GO:0035020),1/9,1,9,0.0844204124867777,0.38709361627647,0,0,11.3960113960114,28.170325384769,RASGRF1
beta,1,membrane disruption in other organism (GO:0051673),1/9,1,9,0.0844204124867777,0.38709361627647,0,0,11.3960113960114,28.170325384769,GSDMD
beta,1,response to UV-C (GO:0010225),1/9,1,9,0.0844204124867777,0.38709361627647,0,0,11.3960113960114,28.170325384769,IMPACT
beta,1,positive regulation of cell activation (GO:0050867),1/9,1,9,0.0844204124867777,0.38709361627647,0,0,11.3960113960114,28.170325384769,TTBK1
beta,1,ventricular cardiac muscle cell membrane repolarization (GO:0099625),1/9,1,9,0.0844204124867777,0.38709361627647,0,0,11.3960113960114,28.170325384769,KCNH2
beta,1,neuronal ion channel clustering (GO:0045161),1/9,1,9,0.0844204124867777,0.38709361627647,0,0,11.3960113960114,28.170325384769,AGRN
beta,1,basement membrane organization (GO:0071711),1/9,1,9,0.0844204124867777,0.38709361627647,0,0,11.3960113960114,28.170325384769,HPN
beta,1,actin crosslink formation (GO:0051764),1/9,1,9,0.0844204124867777,0.38709361627647,0,0,11.3960113960114,28.170325384769,DPYSL3
beta,1,regulation of muscle system process (GO:0090257),1/9,1,9,0.0844204124867777,0.38709361627647,0,0,11.3960113960114,28.170325384769,SRI
beta,1,regulation of endothelial cell differentiation (GO:0045601),1/9,1,9,0.0844204124867777,0.38709361627647,0,0,11.3960113960114,28.170325384769,ATOH8
beta,1,neurotrophin TRK receptor signaling pathway (GO:0048011),1/9,1,9,0.0844204124867777,0.38709361627647,0,0,11.3960113960114,28.170325384769,NTRK1
beta,1,ATP synthesis coupled electron transport (GO:0042773),1/9,1,9,0.0844204124867777,0.38709361627647,0,0,11.3960113960114,28.170325384769,NDUFS2
beta,1,regulation of cell communication by electrical coupling involved in cardiac conduction (GO:1901844),1/9,1,9,0.0844204124867777,0.38709361627647,0,0,11.3960113960114,28.170325384769,SRI
beta,1,negative regulation of potassium ion transmembrane transport (GO:1901380),1/9,1,9,0.0844204124867777,0.38709361627647,0,0,11.3960113960114,28.170325384769,KCNH2
beta,1,cellular response to acidic pH (GO:0071468),1/9,1,9,0.0844204124867777,0.38709361627647,0,0,11.3960113960114,28.170325384769,IMPACT
beta,1,protein polyglutamylation (GO:0018095),1/9,1,9,0.0844204124867777,0.38709361627647,0,0,11.3960113960114,28.170325384769,CEP41
beta,1,detection of mechanical stimulus involved in sensory perception (GO:0050974),1/9,1,9,0.0844204124867777,0.38709361627647,0,0,11.3960113960114,28.170325384769,HPN
beta,1,nucleoside phosphate biosynthetic process (GO:1901293),1/9,1,9,0.0844204124867777,0.38709361627647,0,0,11.3960113960114,28.170325384769,CMPK2
beta,1,positive regulation of astrocyte differentiation (GO:0048711),1/9,1,9,0.0844204124867777,0.38709361627647,0,0,11.3960113960114,28.170325384769,TTBK1
beta,1,early endosome to Golgi transport (GO:0034498),1/9,1,9,0.0844204124867777,0.38709361627647,0,0,11.3960113960114,28.170325384769,EHD3
beta,1,receptor recycling (GO:0001881),1/9,1,9,0.0844204124867777,0.38709361627647,0,0,11.3960113960114,28.170325384769,EHD3
beta,1,cyclic nucleotide catabolic process (GO:0009214),1/9,1,9,0.0844204124867777,0.38709361627647,0,0,11.3960113960114,28.170325384769,PDE4B
beta,1,positive regulation of cell cycle process (GO:0090068),3/108,3,108,0.0889019195005047,0.38709361627647,0,0,2.84900284900285,6.89521807696199,RAD21;ID2;TP73
beta,1,peptidyl-tyrosine modification (GO:0018212),2/52,2,52,0.0913901694336052,0.38709361627647,0,0,3.94477317554241,9.43833278791933,NTRK1;TTBK1
beta,1,coenzyme metabolic process (GO:0006732),2/52,2,52,0.0913901694336052,0.38709361627647,0,0,3.94477317554241,9.43833278791933,THTPA;ACOT11
