prom_peak,gene,MoreOpenIn
11:16418938-16419697,SOX6,beta 1
11:17410248-17411694,KCNJ11,beta 1
11:17497493-17498752,ABCC8,beta 1
11:18033884-18035285,SERGEF,beta 2
11:20044271-20044856,NAV2,beta 1
11:2170903-2171282,IGF2,beta 1
11:2182049-2182779,INS,beta 1
11:2182049-2182779,INS-IGF2,beta 1
11:30606700-30608465,MPPED2,beta 1
11:3181481-3182184,OSBPL5,beta 1
11:32112278-32113689,RCN1,beta 1
11:3252833-3253840,MRGPRE,beta 1
11:33774804-33775302,FBXO3,beta 1
11:33912716-33913748,LMO2,beta 1
11:34645612-34646533,EHF,beta 1
11:34652849-34654175,EHF,beta 1
11:34999207-34999424,PDHX,beta 2
11:35439904-35441910,SLC1A2,beta 1
11:36397875-36399804,PRR5L,beta 1
11:4115499-4116641,RRM1,beta 1
11:43901941-43902767,ALKBH3,beta 1
11:43963603-43965170,C11orf96,beta 1
11:44972058-44972928,TP53I11,beta 1
11:45917959-45918282,MAPK8IP1,beta 1
11:46408352-46408633,CHRM4,beta 2
11:46717829-46718029,ARHGAP1,beta 1
11:46718905-46719374,ARHGAP1,beta 1
11:46867131-46868277,CKAP5,beta 2
11:47521041-47521564,CELF1,beta 1
11:47544737-47546411,CELF1,beta 2
11:47736190-47737280,AGBL2,beta 1
11:57281487-57283579,SLC43A1,beta 1
11:59554427-59555000,STX3,beta 2
11:59612962-59613651,GIF,beta 1
11:60466534-60467322,MS4A8,beta 1
11:60623007-60623814,PTGDR2,beta 1
11:60774928-60776231,CD6,beta 1
11:60928457-60929424,VPS37C,beta 1
11:61613697-61614460,FADS2,beta 1
11:61716928-61717456,BEST1,beta 2
11:62323636-62324266,AHNAK,beta 1
11:62476474-62477317,BSCL2,beta 1
11:63304213-63305411,RARRES3,beta 1
11:6425677-6427347,APBB1,beta 1
11:6494899-6495700,TRIM3,beta 1
11:65655395-65656588,FIBP,beta 2
11:65667642-65668314,FOSL1,beta 2
11:66235272-66235611,PELI3,beta 1
11:66511837-66513090,C11orf80,beta 2
11:66515222-66515510,C11orf80,beta 2
11:67139924-67141150,CLCF1,beta 2
11:67888199-67889487,CHKA,beta 2
11:68303215-68303725,PPP6R3,beta 2
11:69482739-69483193,ORAOV1,beta 1
11:704939-705474,EPS8L2,beta 1
11:72300845-72301698,PDE2A,beta 1
11:72353324-72354950,PDE2A,beta 2
11:73691108-73691822,UCP2,beta 1
11:73881799-73882643,C2CD3,beta 1
11:73881799-73882643,PPME1,beta 1
11:75140870-75141852,KLHL35,beta 1
11:75236624-75237314,GDPD5,beta 1
11:78127449-78129645,GAB2,beta 2
11:78614255-78614647,TENM4,beta 1
11:8059880-8060414,TUB,beta 1
11:8102240-8103548,TUB,beta 1
11:82443843-82445251,FAM181B,beta 1
11:8285365-8285601,LMO1,beta 1
11:85396911-85397529,CCDC89,beta 1
11:85429976-85430517,SYTL2,beta 2
11:86085291-86086250,CCDC81,beta 1
11:8615280-8616346,STK33,beta 1
11:8985530-8986828,TMEM9B,beta 1
11:93582849-93584109,VSTM5,beta 1
11:9594572-9595783,WEE1,beta 2
12:102591611-102591932,PMCH,beta 2
12:10363844-10366878,GABARAPL1,beta 2
12:104679800-104681256,TXNRD1,beta 2
12:105351419-105352752,SLC41A2,beta 2
12:106532230-106534333,NUAK1,beta 2
12:106994749-106995628,RFX4,beta 1
12:109124156-109124572,CORO1C,beta 2
12:109553578-109554625,ACACB,beta 1
12:109967975-109968585,UBE3B,beta 1
12:110718217-110720229,ATP2A2,beta 2
12:111872101-111872995,SH2B3,beta 1
12:113697304-113698137,TPCN1,beta 1
12:118490249-118490714,WSB2,beta 2
12:118541098-118542336,VSIG10,beta 1
12:120662227-120662895,PXN,beta 1
12:120703204-120704065,PXN,beta 2
12:120883800-120884772,TRIAP1,beta 2
12:120883800-120884772,GATC,beta 2
12:121077949-121079475,CABP1,beta 2
12:121769050-121769491,ANAPC5,beta 2
12:122879884-122880157,CLIP1,beta 2
12:122884107-122885397,CLIP1,beta 2
12:122905968-122907689,CLIP1,beta 2
12:123431310-123431841,ABCB9,beta 2
12:123593956-123594501,PITPNM2,beta 1
12:123634877-123636220,PITPNM2,beta 2
12:123752538-123753198,CDK2AP1,beta 1
12:125585166-125586010,AACS,beta 1
12:13196902-13197899,KIAA1467,beta 1
12:133656534-133657826,ZNF140,beta 1
12:14133410-14135160,GRIN2B,beta 1
12:14537428-14538510,ATF7IP,beta 1
12:14720221-14721350,PLBD1,beta 1
12:21927289-21928189,KCNJ8,beta 1
12:22696423-22697836,C2CD5,beta 2
12:26110785-26112374,RASSF8,beta 2
12:29935835-29937486,TMTC1,beta 1
12:31811824-31812981,METTL20,beta 1
12:32654725-32655360,FGD4,beta 1
12:32686612-32687590,FGD4,beta 2
12:32831898-32833001,DNM1L,beta 1
12:39761725-39762401,KIF21A,beta 2
12:41136401-41137009,CNTN1,beta 2
12:47224392-47226443,SLC38A4,beta 1
12:48111255-48111916,ENDOU,beta 1
12:4918104-4919591,KCNA6,beta 1
12:49621423-49622099,TUBA1C,beta 1
12:50134914-50136101,TMBIM6,beta 2
12:50144158-50144526,TMBIM6,beta 2
12:50497522-50498148,GPD1,beta 1
12:51236278-51237074,TMPRSS12,beta 1
12:51450059-51450354,LETMD1,beta 2
12:5152695-5153661,KCNA5,beta 1
12:51818069-51819169,SLC4A8,beta 1
12:54793109-54793504,ITGA5,beta 1
12:57633837-57634626,NDUFA4L2,beta 2
12:57908662-57909154,MARS,beta 2
12:57913605-57914822,DDIT3,beta 2
12:57913605-57914822,MBD6,beta 2
12:57915833-57916938,MBD6,beta 2
12:58148493-58148924,MARCH9,beta 1
12:58158388-58159504,CYP27B1,beta 1
12:64061732-64063122,DPY19L2,beta 1
12:65138560-65139577,GNS,beta 2
12:65173995-65175714,TBC1D30,beta 2
12:65514719-65515696,WIF1,beta 1
12:66562970-66564005,TMBIM4,beta 1
12:66695798-66696679,HELB,beta 2
12:6798006-6799051,ZNF384,beta 1
12:69753319-69754275,YEATS4,beta 2
12:6976294-6977515,TPI1,beta 2
12:70092669-70093436,BEST3,beta 1
12:7013582-7014496,LRRC23,beta 1
12:7034021-7034370,ATN1,beta 1
12:72332331-72333097,TPH2,beta 1
12:72665221-72667438,TRHDE,beta 1
12:76952602-76954036,OSBPL8,beta 2
12:77458881-77460022,E2F7,beta 2
12:8849043-8849528,RIMKLB,beta 2
12:88972984-88974660,KITLG,beta 1
12:9101896-9102875,M6PR,beta 1
12:9101896-9102875,KLRG1,beta 1
12:92530957-92531426,C12orf79,beta 2
12:99288192-99289483,ANKS1B,beta 1
13:101185558-101186294,GGACT,beta 1
13:102067631-102069670,NALCN,beta 1
13:102567625-102571096,FGF14,beta 1
13:108866289-108868258,LIG4,beta 2
13:110437648-110440223,IRS2,beta 2
13:114238613-114239214,TFDP1,beta 1
13:24007234-24008074,SACS,beta 1
13:28493855-28495655,PDX1,beta 1
13:30168404-30170304,SLC7A1,beta 2
13:32605083-32606045,FRY,beta 2
13:33859173-33860570,STARD13,beta 2
13:36919643-36921165,SPG20,beta 2
13:36919643-36921165,SPG20OS,beta 2
13:37493071-37494736,SMAD9,beta 1
13:41885044-41886178,NAA16,beta 2
13:42613935-42615642,DGKH,beta 2
13:43564476-43565359,EPSTI1,beta 1
13:44359776-44361660,ENOX1,beta 2
13:44734598-44735475,SMIM2,beta 1
13:49549666-49551085,FNDC3A,beta 2
13:51417310-51418110,DLEU7,beta 1
13:52435821-52436304,CCDC70,beta 2
13:78109592-78109979,SCEL,beta 2
13:99960031-99960887,GPR183,beta 2
14:100038660-100039584,CCDC85C,beta 1
14:100275621-100276015,EML1,beta 1
14:101192928-101193695,DLK1,beta 1
14:102701675-102702020,MOK,beta 1
14:105060155-105060696,TMEM179,beta 1
14:105189993-105191654,ADSSL1,beta 1
14:105914935-105915448,MTA1,beta 1
14:105939913-105941265,CRIP2,beta 1
14:20929188-20930248,TMEM55B,beta 1
14:21509821-21510389,RNASE7,beta 2
14:23025876-23026593,AE000662.92,beta 1
14:23288415-23289615,SLC7A7,beta 1
14:23305499-23306755,MMP14,beta 1
14:23352083-23352621,REM2,beta 1
14:23623429-23623977,SLC7A8,beta 1
14:23624323-23624911,SLC7A8,beta 1
14:23834161-23836066,EFS,beta 1
14:24024930-24025727,THTPA,beta 1
14:24024930-24025727,ZFHX2,beta 1
14:24107623-24108600,DHRS2,beta 1
14:24563021-24564032,PCK2,beta 2
14:24563021-24564032,NRL,beta 2
14:24640725-24641493,REC8,beta 1
14:24779757-24780739,LTB4R2,beta 1
14:24779757-24780739,CIDEB,beta 1
14:24779757-24780739,LTB4R,beta 1
14:24838042-24838328,NFATC4,beta 1
14:24911132-24912312,SDR39U1,beta 1
14:31926090-31926928,RP11-176H8.1,beta 2
14:31926090-31926928,DTD2,beta 2
14:35342535-35344784,BAZ1A,beta 2
14:37640979-37642085,SLC25A21-AS1,beta 1
14:37640979-37642085,SLC25A21,beta 1
14:38677003-38679754,SSTR1,beta 1
14:39745072-39745612,CTAGE5,beta 2
14:51561632-51562982,TRIM9,beta 2
14:52455771-52456953,C14orf166,beta 1
14:52534554-52536503,NID2,beta 1
14:53161572-53162887,ERO1L,beta 2
14:53385183-53385843,FERMT2,beta 2
14:56067635-56068306,KTN1,beta 2
14:56954457-56954852,TMEM260,beta 2
14:59729603-59730231,DAAM1,beta 1
14:61448756-61449059,SLC38A6,beta 2
14:61793637-61794021,PRKCH,beta 1
14:61810702-61811529,PRKCH,beta 1
14:65190750-65191215,PLEKHG3,beta 1
14:66974196-66975337,GPHN,beta 2
14:67980394-67982469,TMEM229B,beta 1
14:67999498-68000754,PLEKHH1,beta 1
14:67999498-68000754,TMEM229B,beta 1
14:68086126-68086989,ARG2,beta 2
14:69726284-69727473,GALNT16,beta 1
14:70345843-70346935,SMOC1,beta 1
14:75078560-75079647,LTBP2,beta 1
14:75469108-75469998,EIF2B2,beta 1
14:75745005-75746444,FOS,beta 1
14:77607077-77608332,AC007375.1,beta 1
14:77607077-77608332,ZDHHC22,beta 1
14:77647617-77648690,TMEM63C,beta 1
14:77791266-77791815,GSTZ1,beta 1
14:78869489-78870125,NRXN3,beta 2
14:81901656-81903250,STON2,beta 2
14:89258030-89259667,EML5,beta 2
14:90797901-90798636,NRDE2,beta 1
14:91526253-91527569,RPS6KA5,beta 2
14:91526253-91527569,C14orf159,beta 2
14:91710752-91711630,GPR68,beta 1
14:93388377-93390116,CHGA,beta 1
14:96556721-96557396,C14orf132,beta 1
15:100257373-100257699,DKFZP779J2370,beta 1
15:27016801-27018937,GABRB3,beta 2
15:29130701-29131759,APBA2,beta 1
15:34260376-34260789,CHRM5,beta 2
15:34447018-34447404,KATNBL1,beta 2
15:35046323-35047882,GJD2,beta 1
15:37386790-37387531,MEIS2,beta 2
15:38545734-38545943,SPRED1,beta 2
15:40225764-40226716,EIF2AK4,beta 2
15:41221057-41222306,DLL4,beta 2
15:41244985-41246021,CHAC1,beta 2
15:41850989-41851633,TYRO3,beta 2
15:41952257-41953258,MGA,beta 2
15:48936887-48938695,FBN1,beta 1
15:49338084-49339081,SECISBP2L,beta 1
15:50168373-50169485,ATP8B4,beta 1
15:50473799-50475223,SLC27A2,beta 1
15:50473799-50475223,ATP8B4,beta 1
15:50978221-50979490,TRPM7,beta 2
15:52311155-52312291,MAPK6,beta 2
15:52849511-52849812,ARPP19,beta 2
15:53081914-53083569,ONECUT1,beta 1
15:56285236-56286475,NEDD4,beta 2
15:57210205-57212180,ZNF280D,beta 2
15:57210205-57212180,TCF12,beta 2
15:63334255-63335279,TPM1,beta 1
15:63795977-63797543,USP3,beta 2
15:64331486-64332504,DAPK2,beta 1
15:64363502-64363984,DAPK2,beta 2
15:64752414-64754305,ZNF609,beta 2
15:65337515-65337916,SLC51B,beta 1
15:65669240-65670524,IGDCC3,beta 1
15:66678854-66680334,TIPIN,beta 2
15:66678854-66680334,MAP2K1,beta 2
15:66994186-66994793,SMAD6,beta 1
15:67357380-67358772,SMAD3,beta 2
15:68923848-68924773,CORO2B,beta 1
15:72520562-72521071,PKM,beta 2
15:74610453-74611235,CCDC33,beta 1
15:75229833-75230946,COX5A,beta 2
15:75487751-75488674,C15orf39,beta 1
15:75493928-75495302,C15orf39,beta 2
15:77196826-77198419,SCAPER,beta 2
15:77376051-77376580,TSPAN3,beta 1
15:79381637-79384326,RASGRF1,beta 1
15:81071282-81072792,KIAA1199,beta 1
15:82337813-82339928,MEX3B,beta 2
15:83478068-83479324,WHAMM,beta 2
15:84322221-84323077,ADAMTSL3,beta 1
15:86086775-86087437,AKAP13,beta 1
15:88798752-88800183,NTRK3,beta 1
15:89181649-89182579,ISG20,beta 2
15:89644551-89645492,ABHD2,beta 2
15:90727171-90728677,SEMA4B,beta 1
15:90734633-90735739,SEMA4B,beta 1
15:94840237-94841195,MCTP2,beta 1
15:99644944-99646570,SYNM,beta 1
16:1122588-1124226,SSTR5,beta 1
16:1358459-1359923,UBE2I,beta 2
16:1385266-1386250,BAIAP3,beta 1
16:1401444-1402303,TSR3,beta 2
16:1401444-1402303,GNPTG,beta 2
16:14234804-14235253,MKL2,beta 2
16:1822489-1823749,MRPS34,beta 2
16:1822489-1823749,EME2,beta 2
16:19178898-19180926,SYT17,beta 1
16:30032498-30033304,DOC2A,beta 1
16:3062162-3063602,CLDN9,beta 1
16:3070716-3071627,TNFRSF12A,beta 2
16:31100049-31100353,PRSS53,beta 1
16:31117011-31117478,BCKDK,beta 1
16:31440028-31440469,COX6A2,beta 2
16:46654902-46655637,SHCBP1,beta 1
16:46796589-46797498,MYLK3,beta 1
16:4896497-4898482,GLYR1,beta 2
16:4896497-4898482,UBN1,beta 2
16:49889049-49889839,ZNF423,beta 1
16:49890595-49891429,ZNF423,beta 1
16:56782738-56783120,NUP93,beta 1
16:57496209-57497233,POLR2C,beta 1
16:57643477-57644077,GPR56,beta 1
16:66637674-66639642,CMTM3,beta 1
16:67243993-67244796,LRRC29,beta 1
16:67360441-67361265,KCTD19,beta 1
16:67360441-67361265,LRRC36,beta 1
16:67427010-67427898,TPPP3,beta 1
16:69344853-69346037,VPS4A,beta 2
16:69599336-69600937,NFAT5,beta 2
16:70332765-70333929,DDX19B,beta 2
16:70332765-70333929,RP11-529K1.3,beta 2
16:70734440-70734990,VAC14,beta 1
16:71756847-71758265,PHLPP2,beta 2
16:71916856-71918910,ZNF821,beta 2
16:71916856-71918910,IST1,beta 2
16:72158794-72159483,PMFBP1,beta 1
16:81678824-81679453,CMIP,beta 1
16:82044720-82045466,SDR42E1,beta 1
16:83932218-83933480,MLYCD,beta 2
16:87739284-87740518,FLJ00104,beta 1
16:87902756-87903451,SLC7A5,beta 2
16:87984284-87985365,BANP,beta 1
16:89005185-89006134,RP11-830F9.6,beta 1
16:89267877-89268499,SLC22A31,beta 2
16:89653363-89654024,CPNE7,beta 2
16:9056312-9056843,USP7,beta 2
17:11143362-11145480,SHISA6,beta 1
17:11514473-11514992,DNAH9,beta 1
17:15554825-15555381,RP11-385D13.1,beta 2
17:17139641-17141150,FLCN,beta 2
17:17585489-17586550,RAI1,beta 2
17:17766324-17766607,TOM1L2,beta 1
17:188705-189720,RPH3AL,beta 1
17:18907214-18908325,FAM83G,beta 2
17:21191092-21191794,MAP2K3,beta 2
17:2143307-2143734,SMG6,beta 2
17:26876669-26877076,UNC119,beta 1
17:27073138-27073411,TRAF4,beta 2
17:27716971-27718113,TAOK1,beta 2
17:27894894-27895846,TP53I13,beta 2
17:28256471-28257652,EFCAB5,beta 2
17:28256471-28257652,SSH2,beta 2
17:29814613-29815483,RAB11FIP4,beta 2
17:30468832-30470297,RHOT1,beta 2
17:30468832-30470297,AC090616.2,beta 2
17:31619375-31620571,ASIC2,beta 1
17:35445471-35446254,ACACA,beta 1
17:35848886-35850535,DUSP14,beta 2
17:36412086-36412796,RP11-1407O15.2,beta 2
17:37025274-37027010,LASP1,beta 2
17:38518871-38519977,GJD3,beta 1
17:39222455-39222830,KRTAP2-4,beta 2
17:39296896-39297460,KRTAP4-6,beta 2
17:39304962-39305716,KRTAP4-5,beta 2
17:39464496-39465318,KRTAP16-1,beta 1
17:41131996-41133470,PTGES3L-AARSD1,beta 2
17:41131996-41133470,PTGES3L,beta 2
17:41131996-41133470,RUNDC1,beta 2
17:41170132-41170846,VAT1,beta 1
17:42276326-42278239,ATXN7L3,beta 2
17:42287567-42288273,UBTF,beta 1
17:4268428-4270306,UBE2G1,beta 2
17:43971365-43972205,MAPT,beta 2
17:44269905-44271624,KANSL1,beta 2
17:44803382-44803909,NSF,beta 2
17:46131492-46132098,NFE2L1,beta 2
17:46133111-46133358,NFE2L1,beta 2
17:56062987-56063219,VEZF1,beta 2
17:61553785-61555259,ACE,beta 1
17:65235732-65236156,HELZ,beta 2
17:66596114-66597642,FAM20A,beta 1
17:68100991-68101990,KCNJ16,beta 1
17:7107739-7108943,DLG4,beta 1
17:71086026-71086365,SLC39A11,beta 1
17:71201616-71202490,COG1,beta 1
17:7145067-7146753,GABARAP,beta 2
17:72357197-72358187,BTBD17,beta 1
17:7257689-7258079,TMEM95,beta 2
17:73892397-73893287,TRIM65,beta 2
17:74379928-74381634,SPHK1,beta 2
17:74379928-74381634,PRPSAP1,beta 2
17:76975801-76976442,LGALS3BP,beta 1
17:77179293-77180294,RBFOX3,beta 1
17:7792413-7792808,CHD3,beta 1
17:79479408-79480149,ACTG1,beta 2
17:79480396-79481034,ACTG1,beta 2
17:79680364-79681039,SLC25A10,beta 1
17:7982549-7983612,AC129492.6,beta 1
17:8021427-8022665,ALOXE3,beta 2
17:8054423-8054820,PER1,beta 1
18:10525759-10526564,NAPG,beta 1
18:11688960-11690278,GNAL,beta 1
18:11908145-11909191,MPPE1,beta 1
18:13641427-13642337,LDLRAD4,beta 1
18:18822013-18823194,GREB1L,beta 1
18:19236462-19236786,ABHD3,beta 2
18:19748944-19750910,GATA6,beta 1
18:20713834-20714575,CABLES1,beta 1
18:21242154-21243143,ANKRD29,beta 1
18:22006309-22007818,IMPACT,beta 1
18:29598226-29600085,RNF125,beta 1
18:30050201-30051579,GAREM,beta 2
18:3219222-3220656,MYOM1,beta 1
18:32921001-32921370,ZNF24,beta 2
18:32956361-32957483,ZNF396,beta 1
18:34123964-34124819,FHOD3,beta 1
18:40857091-40857692,SYT4,beta 2
18:43417501-43417973,SIGLEC15,beta 1
18:44335921-44337161,ST8SIA5,beta 1
18:4454801-4455747,DLGAP1,beta 1
