jaspar.id,motif,mean_x,mean_y,pval,test,x,y,enrichedIn,FDR,padj,family.id,family.name,class.id,class.name,superclass.id,superclass.name
MA1130.1,FOSL2::JUN,7.95826980362017,-0.0989405104719059,6.6992150458186e-34,stellate.vs.other,stellate,other,stellate,1.10824157472256e-32,3.87884551152897e-31,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1137.1,FOSL1::JUNB,7.81075644686808,-0.110156439550799,7.81952713474262e-36,stellate.vs.other,stellate,other,stellate,2.51528122834221e-34,4.52750621101598e-33,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1137.1,FOSL1::JUNB,7.81075644686808,-0.110156439550799,7.81952713474262e-36,stellate.vs.other,stellate,other,stellate,2.51528122834221e-34,4.52750621101598e-33,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1134.1,FOS::JUNB,7.69525774516845,-0.0947236329537182,3.52619757299487e-34,stellate.vs.other,stellate,other,stellate,6.00490704342362e-33,2.04166839476403e-31,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1134.1,FOS::JUNB,7.69525774516845,-0.0947236329537182,3.52619757299487e-34,stellate.vs.other,stellate,other,stellate,6.00490704342362e-33,2.04166839476403e-31,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1135.1,FOSB::JUNB,7.6461034302927,-0.0939813086830305,1.22460612251938e-35,stellate.vs.other,stellate,other,stellate,3.22294065881236e-34,7.09046944938719e-33,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1135.1,FOSB::JUNB,7.6461034302927,-0.0939813086830305,1.22460612251938e-35,stellate.vs.other,stellate,other,stellate,3.22294065881236e-34,7.09046944938719e-33,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1142.1,FOSL1::JUND,7.61952547447598,-0.113948342735042,1.2137429526427e-36,stellate.vs.other,stellate,other,stellate,5.85630974650102e-35,7.02757169580123e-34,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1142.1,FOSL1::JUND,7.61952547447598,-0.113948342735042,1.2137429526427e-36,stellate.vs.other,stellate,other,stellate,5.85630974650102e-35,7.02757169580123e-34,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1144.1,FOSL2::JUND,7.52181586290925,-0.0995023206108782,4.15584802594008e-35,stellate.vs.other,stellate,other,stellate,8.59370002506895e-34,2.40623600701931e-32,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1144.1,FOSL2::JUND,7.52181586290925,-0.0995023206108782,4.15584802594008e-35,stellate.vs.other,stellate,other,stellate,8.59370002506895e-34,2.40623600701931e-32,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0462.1,BATF::JUN,7.32410511801116,-0.108791307188923,3.37925267546786e-36,stellate.vs.other,stellate,other,stellate,1.30439153273059e-34,1.95658729909589e-33,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0462.1,BATF::JUN,7.32410511801116,-0.108791307188923,3.37925267546786e-36,stellate.vs.other,stellate,other,stellate,1.30439153273059e-34,1.95658729909589e-33,1.1.4,B-ATF-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1138.1,FOSL2::JUNB,7.25030309030149,-0.101725133684925,6.17540579484334e-35,stellate.vs.other,stellate,other,stellate,1.19528694375562e-33,3.5755599552143e-32,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1138.1,FOSL2::JUNB,7.25030309030149,-0.101725133684925,6.17540579484334e-35,stellate.vs.other,stellate,other,stellate,1.19528694375562e-33,3.5755599552143e-32,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1132.1,JUN::JUNB,6.87469829554949,-0.0966442787791767,1.48510601586085e-35,stellate.vs.other,stellate,other,stellate,3.73859297036274e-34,8.5987638318343e-33,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0841.1,NFE2,6.73155870257646,-0.0790609493060103,1.27476507941407e-34,stellate.vs.other,stellate,other,stellate,2.30652806556483e-33,7.38088980980745e-32,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1101.1,BACH2,6.64885223655514,-0.089428080099811,1.94026741759758e-36,stellate.vs.other,stellate,other,stellate,8.6416525753e-35,1.123414834789e-33,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0655.1,JDP2,6.47113201998444,-0.0855168680609779,2.9011159720603e-35,stellate.vs.other,stellate,other,stellate,6.4605621070112e-34,1.67974614782291e-32,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0501.1,MAF::NFE2,5.02440434751836,-0.0736983802024009,1.3792911057445e-37,stellate.vs.other,stellate,other,stellate,7.98609550226066e-36,7.98609550226066e-35,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0501.1,MAF::NFE2,5.02440434751836,-0.0736983802024009,1.3792911057445e-37,stellate.vs.other,stellate,other,stellate,7.98609550226066e-36,7.98609550226066e-35,1.1.3,Maf-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0150.2,Nfe2l2,4.51488911978793,-0.0597998858858189,6.19319659977005e-35,stellate.vs.other,stellate,other,stellate,1.19528694375562e-33,3.58586083126686e-32,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0591.1,Bach1::Mafk,4.38978663916641,-0.049696121148016,1.73930882790663e-33,stellate.vs.other,stellate,other,stellate,2.79738836488317e-32,1.00705981135794e-30,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0591.1,Bach1::Mafk,4.38978663916641,-0.049696121148016,1.73930882790663e-33,stellate.vs.other,stellate,other,stellate,2.79738836488317e-32,1.00705981135794e-30,1.1.3,Maf-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0478.1,FOSL2,3.9361333578464,-0.0389100534324658,9.66849210941299e-14,ductal.vs.other,ductal,other,ductal,2.72478231686579e-12,5.59805693135012e-11,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0490.1,JUNB,3.91891014575097,-0.047681073430628,3.10460888499919e-14,ductal.vs.other,ductal,other,ductal,1.28397753172466e-12,1.79756854441453e-11,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0491.1,JUND,3.79868770547889,-0.0516669773505537,7.7205327150516e-14,ductal.vs.other,ductal,other,ductal,2.3527307589552e-12,4.47018844201488e-11,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1141.1,FOS::JUND,3.74563380529719,-0.0544048675281794,4.42251535201205e-14,ductal.vs.other,ductal,other,ductal,1.70709092587665e-12,2.56063638881498e-11,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1141.1,FOS::JUND,3.74563380529719,-0.0544048675281794,4.42251535201205e-14,ductal.vs.other,ductal,other,ductal,1.70709092587665e-12,2.56063638881498e-11,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0477.1,FOSL1,3.74183636523236,-0.0447809589611576,3.4019970703947e-13,ductal.vs.other,ductal,other,ductal,5.9875834246379e-12,1.96975630375853e-10,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0489.1,JUN(var.2),3.69853970107797,-0.0672256873193705,3.57267380579976e-20,endothelial.vs.other,endothelial,other,endothelial,4.08961450787044e-19,2.06857813355806e-17,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0476.1,FOS,3.69411342296197,-0.0518698517556339,3.5470862026576e-13,ductal.vs.other,ductal,other,ductal,6.04047915099633e-12,2.05376291133875e-10,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1128.1,FOSL1::JUN,3.60721618376421,-0.0560272341428368,4.7601657581219e-14,ductal.vs.other,ductal,other,ductal,1.72258498372036e-12,2.75613597395258e-11,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1128.1,FOSL1::JUN,3.60721618376421,-0.0560272341428368,4.7601657581219e-14,ductal.vs.other,ductal,other,ductal,1.72258498372036e-12,2.75613597395258e-11,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0489.1,JUN(var.2),3.59016493791959,-0.057252690485899,2.76579966625243e-13,ductal.vs.other,ductal,other,ductal,5.16580002180697e-12,1.60139800676016e-10,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0474.2,ERG,3.5227370800812,-0.0887319923587176,2.20401709439106e-27,endothelial.vs.other,endothelial,other,endothelial,9.67610609508344e-26,1.27612589765242e-24,3.5.2,Ets-related,3.5,Tryptophan cluster factors,3,Helix-turn-helix domains
MA1130.1,FOSL2::JUN,3.51923599265654,-0.0501910821663788,5.96898995578951e-14,ductal.vs.other,ductal,other,ductal,2.03296775553066e-12,3.45604518440213e-11,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1130.1,FOSL2::JUN,3.51923599265654,-0.0501910821663788,5.96898995578951e-14,ductal.vs.other,ductal,other,ductal,2.03296775553066e-12,3.45604518440213e-11,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0762.1,ETV2,3.49960391226421,-0.0530522369539615,2.96459486918844e-22,endothelial.vs.other,endothelial,other,endothelial,5.91896699744864e-21,1.71650042926011e-19,3.5.2,Ets-related,3.5,Tryptophan cluster factors,3,Helix-turn-helix domains
MA0099.3,FOS::JUN,3.45527910875251,-0.0509119497843267,4.96636288340934e-13,ductal.vs.other,ductal,other,ductal,7.37313874229233e-12,2.87552410949401e-10,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0099.3,FOS::JUN,3.45527910875251,-0.0509119497843267,4.96636288340934e-13,ductal.vs.other,ductal,other,ductal,7.37313874229233e-12,2.87552410949401e-10,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0490.1,JUNB,3.43635601243146,-0.0538595371063328,3.60225112092215e-20,endothelial.vs.other,endothelial,other,endothelial,4.08961450787044e-19,2.08570339901393e-17,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0478.1,FOSL2,3.38719571444117,-0.0445936507781035,5.94177279073122e-21,endothelial.vs.other,endothelial,other,endothelial,9.29807147522534e-20,3.44028644583338e-18,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0808.1,TEAD3,3.38444534227441,-0.0154062417350052,5.92577442749581e-18,ductal.vs.other,ductal,other,ductal,6.86204678704015e-16,3.43102339352008e-15,3.6.1,TEF1-related,3.6,TEA domain factors,3,Helix-turn-helix domains
MA0098.3,ETS1,3.35123813801024,-0.090208520995191,2.33964568793036e-27,endothelial.vs.other,endothelial,other,endothelial,9.67610609508344e-26,1.35465485331168e-24,3.5.2,Ets-related,3.5,Tryptophan cluster factors,3,Helix-turn-helix domains
MA1134.1,FOS::JUNB,3.27712098828158,-0.0469269417524557,3.66156076098555e-13,ductal.vs.other,ductal,other,ductal,6.05726765888752e-12,2.12004368061063e-10,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1134.1,FOS::JUNB,3.27712098828158,-0.0469269417524557,3.66156076098555e-13,ductal.vs.other,ductal,other,ductal,6.05726765888752e-12,2.12004368061063e-10,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1135.1,FOSB::JUNB,3.267924920262,-0.0465520572522715,4.27695715320194e-13,ductal.vs.other,ductal,other,ductal,6.87877275473312e-12,2.47635819170392e-10,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1135.1,FOSB::JUNB,3.267924920262,-0.0465520572522715,4.27695715320194e-13,ductal.vs.other,ductal,other,ductal,6.87877275473312e-12,2.47635819170392e-10,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0476.1,FOS,3.26781493281261,-0.0579333657610123,2.10944276256278e-20,endothelial.vs.other,endothelial,other,endothelial,2.6551464337475e-19,1.22136735952385e-17,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1144.1,FOSL2::JUND,3.24664594107309,-0.0529891870482642,5.40811678644434e-13,ductal.vs.other,ductal,other,ductal,7.6373161447592e-12,3.13129961935127e-10,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1144.1,FOSL2::JUND,3.24664594107309,-0.0529891870482642,5.40811678644434e-13,ductal.vs.other,ductal,other,ductal,7.6373161447592e-12,3.13129961935127e-10,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0491.1,JUND,3.22560909216839,-0.0568507850960662,1.782067797639e-19,endothelial.vs.other,endothelial,other,endothelial,1.58741116128151e-18,1.03181725483298e-16,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1137.1,FOSL1::JUNB,3.19405318961095,-0.0609029187774599,2.35274893044206e-13,ductal.vs.other,ductal,other,ductal,4.86514868116412e-12,1.36224163072595e-10,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1137.1,FOSL1::JUNB,3.19405318961095,-0.0609029187774599,2.35274893044206e-13,ductal.vs.other,ductal,other,ductal,4.86514868116412e-12,1.36224163072595e-10,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1141.1,FOS::JUND,3.17016094475396,-0.059444108109422,3.75044523193963e-20,endothelial.vs.other,endothelial,other,endothelial,4.17597651787124e-19,2.17150778929304e-17,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1141.1,FOS::JUND,3.17016094475396,-0.059444108109422,3.75044523193963e-20,endothelial.vs.other,endothelial,other,endothelial,4.17597651787124e-19,2.17150778929304e-17,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0475.2,FLI1,3.16184644388661,-0.091514059042474,1.4874142760974e-28,endothelial.vs.other,endothelial,other,endothelial,1.23030409408628e-26,8.61212865860397e-26,3.5.2,Ets-related,3.5,Tryptophan cluster factors,3,Helix-turn-helix domains
MA0076.2,ELK4,3.1366221071809,-0.0925066582047187,2.26666888785713e-25,endothelial.vs.other,endothelial,other,endothelial,6.09416624403781e-24,1.31240128606928e-22,3.5.2,Ets-related,3.5,Tryptophan cluster factors,3,Helix-turn-helix domains
MA1128.1,FOSL1::JUN,3.13272628836416,-0.0615090155804693,2.38436639615377e-20,endothelial.vs.other,endothelial,other,endothelial,2.87614196536048e-19,1.38054814337303e-17,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1128.1,FOSL1::JUN,3.13272628836416,-0.0615090155804693,2.38436639615377e-20,endothelial.vs.other,endothelial,other,endothelial,2.87614196536048e-19,1.38054814337303e-17,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0477.1,FOSL1,3.13094144589257,-0.0495112526263262,4.39841696253796e-19,endothelial.vs.other,endothelial,other,endothelial,3.69084553812968e-18,2.54668342130948e-16,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0760.1,ERF,3.10670766131567,-0.0766030800454348,4.87326061986935e-27,endothelial.vs.other,endothelial,other,endothelial,1.88107859926957e-25,2.82161789890435e-24,3.5.2,Ets-related,3.5,Tryptophan cluster factors,3,Helix-turn-helix domains
MA0099.3,FOS::JUN,3.09887189174179,-0.0569184852663514,1.58135063806317e-20,endothelial.vs.other,endothelial,other,endothelial,2.12930702195017e-19,9.15602019438574e-18,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0099.3,FOS::JUN,3.09887189174179,-0.0569184852663514,1.58135063806317e-20,endothelial.vs.other,endothelial,other,endothelial,2.12930702195017e-19,9.15602019438574e-18,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0478.1,FOSL2,3.09177251311608,-0.0275022331570215,7.8729337845819e-10,acinar.vs.other,acinar,other,acinar,3.03895244084861e-08,4.55842866127292e-07,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1142.1,FOSL1::JUND,3.0860576434221,-0.0657235977152994,1.04147378642691e-13,ductal.vs.other,ductal,other,ductal,2.74096964700538e-12,6.03013322341183e-11,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1142.1,FOSL1::JUND,3.0860576434221,-0.0657235977152994,1.04147378642691e-13,ductal.vs.other,ductal,other,ductal,2.74096964700538e-12,6.03013322341183e-11,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1141.1,FOS::JUND,3.06311009456276,-0.0438752710444496,3.48485631567237e-09,acinar.vs.other,acinar,other,acinar,5.28616083514646e-08,2.0177318067743e-06,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1141.1,FOS::JUND,3.06311009456276,-0.0438752710444496,3.48485631567237e-09,acinar.vs.other,acinar,other,acinar,5.28616083514646e-08,2.0177318067743e-06,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1138.1,FOSL2::JUNB,3.05980479992596,-0.0565064966773425,5.1892962233313e-13,ductal.vs.other,ductal,other,ductal,7.51150628327206e-12,3.00460251330882e-10,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1138.1,FOSL2::JUNB,3.05980479992596,-0.0565064966773425,5.1892962233313e-13,ductal.vs.other,ductal,other,ductal,7.51150628327206e-12,3.00460251330882e-10,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1130.1,FOSL2::JUN,3.04657804996176,-0.0554522542088879,4.78180645118408e-20,endothelial.vs.other,endothelial,other,endothelial,4.94404631292068e-19,2.76866593523558e-17,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1130.1,FOSL2::JUN,3.04657804996176,-0.0554522542088879,4.78180645118408e-20,endothelial.vs.other,endothelial,other,endothelial,4.94404631292068e-19,2.76866593523558e-17,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1128.1,FOSL1::JUN,3.00567773849042,-0.0460468351989977,3.56062646926964e-09,acinar.vs.other,acinar,other,acinar,5.28616083514646e-08,2.06160272570712e-06,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1128.1,FOSL1::JUN,3.00567773849042,-0.0460468351989977,3.56062646926964e-09,acinar.vs.other,acinar,other,acinar,5.28616083514646e-08,2.06160272570712e-06,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0490.1,JUNB,3.00561400500081,-0.0360841862075306,2.21853991522563e-09,acinar.vs.other,acinar,other,acinar,4.01417065911137e-08,1.28453461091564e-06,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0462.1,BATF::JUN,2.98755828131972,-0.0701851483627311,3.52910969953131e-18,endothelial.vs.other,endothelial,other,endothelial,2.61968527695978e-17,2.04335451602863e-15,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0462.1,BATF::JUN,2.98755828131972,-0.0701851483627311,3.52910969953131e-18,endothelial.vs.other,endothelial,other,endothelial,2.61968527695978e-17,2.04335451602863e-15,1.1.4,B-ATF-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0090.2,TEAD1,2.96475514702224,-0.00996109448667285,2.09528393903492e-17,ductal.vs.other,ductal,other,ductal,1.73309914385888e-15,1.21316940070122e-14,3.6.1,TEF1-related,3.6,TEA domain factors,3,Helix-turn-helix domains
MA1132.1,JUN::JUNB,2.96229292277841,-0.0540883007669897,1.21391626638716e-13,ductal.vs.other,ductal,other,ductal,2.92857299265902e-12,7.02857518238164e-11,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0491.1,JUND,2.96169355169998,-0.0405593330881599,2.10164126279906e-09,acinar.vs.other,acinar,other,acinar,3.92532351987309e-08,1.21685029116066e-06,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1142.1,FOSL1::JUND,2.95321498945837,-0.0725807949482046,2.91635370534902e-19,endothelial.vs.other,endothelial,other,endothelial,2.52025193342848e-18,1.68856879539708e-16,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1142.1,FOSL1::JUND,2.95321498945837,-0.0725807949482046,2.91635370534902e-19,endothelial.vs.other,endothelial,other,endothelial,2.52025193342848e-18,1.68856879539708e-16,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1134.1,FOS::JUNB,2.92970426467211,-0.0384691133425951,4.00160298363015e-09,acinar.vs.other,acinar,other,acinar,5.65104421346794e-08,2.31692812752186e-06,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1134.1,FOS::JUNB,2.92970426467211,-0.0384691133425951,4.00160298363015e-09,acinar.vs.other,acinar,other,acinar,5.65104421346794e-08,2.31692812752186e-06,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0477.1,FOSL1,2.9243609782245,-0.0338742675878989,7.11590909900372e-10,acinar.vs.other,acinar,other,acinar,2.9976930364908e-08,4.12011136832315e-07,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1130.1,FOSL2::JUN,2.92219537605462,-0.0404333855424825,3.77070348777252e-09,acinar.vs.other,acinar,other,acinar,5.45809329855072e-08,2.18323731942029e-06,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1130.1,FOSL2::JUN,2.92219537605462,-0.0404333855424825,3.77070348777252e-09,acinar.vs.other,acinar,other,acinar,5.45809329855072e-08,2.18323731942029e-06,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0489.1,JUN(var.2),2.91743567095889,-0.0470928592738626,1.4709069508211e-09,acinar.vs.other,acinar,other,acinar,3.27559663279007e-08,8.51655124525419e-07,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0476.1,FOS,2.9032736858931,-0.0411340755134646,1.67849949187101e-09,acinar.vs.other,acinar,other,acinar,3.41873080532744e-08,9.71851205793314e-07,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1121.1,TEAD2,2.90217406157215,-0.0186395924520715,1.06112336341209e-16,ductal.vs.other,ductal,other,ductal,6.94536541136122e-15,6.14390427415599e-14,3.6.1,TEF1-related,3.6,TEA domain factors,3,Helix-turn-helix domains
MA0462.1,BATF::JUN,2.89241935090389,-0.06204969266808,1.34838442517883e-12,ductal.vs.other,ductal,other,ductal,1.77435132313305e-11,7.80714582178544e-10,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0462.1,BATF::JUN,2.89241935090389,-0.06204969266808,1.34838442517883e-12,ductal.vs.other,ductal,other,ductal,1.77435132313305e-11,7.80714582178544e-10,1.1.4,B-ATF-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA0655.1,JDP2,2.89208637951044,-0.0460213497363557,4.86328462959375e-13,ductal.vs.other,ductal,other,ductal,7.37313874229233e-12,2.81584180053478e-10,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
MA1134.1,FOS::JUNB,2.886234858147,-0.0522095015670415,1.30369212597487e-19,endothelial.vs.other,endothelial,other,endothelial,1.21748022732169e-18,7.5483774093945e-17,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
