rank,motif,id,x,y,test,mean_x,mean_y,enrichedIn,pval,FDR,padj,lfdr,family.id,family.name,class.id,class.name,superclass.id,superclass.name
12,FOXK2,MA1103.1,beta,delta,beta_vs_delta,0.0362182187899079,-0.689129310045542,beta,1.86438940090952e-51,7.71058187947578e-50,1.07948146312661e-48,-49.1129128466559,3.3.1,FOX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
13,FOXI1,MA0042.2,beta,delta,beta_vs_delta,0.0483494864698958,-0.672766397097038,beta,6.36424059831969e-51,1.84244765321355e-49,3.6848953064271e-48,-48.7346048422713,3.3.1,FOX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
14,FOXL1,MA0033.2,beta,delta,beta_vs_delta,0.0483494864698958,-0.672766397097038,beta,6.36424059831969e-51,1.84244765321355e-49,3.6848953064271e-48,-48.7346048422713,3.3.1,FOX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
15,FOXD2,MA0847.1,beta,delta,beta_vs_delta,0.0483494864698958,-0.672766397097038,beta,6.36424059831969e-51,1.84244765321355e-49,3.6848953064271e-48,-48.7346048422713,3.3.1,FOX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
16,FOXO4,MA0848.1,beta,delta,beta_vs_delta,0.0483494864698958,-0.672766397097038,beta,6.36424059831969e-51,1.84244765321355e-49,3.6848953064271e-48,-48.7346048422713,3.3.1,FOX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
17,FOXO6,MA0849.1,beta,delta,beta_vs_delta,0.0483494864698958,-0.672766397097038,beta,6.36424059831969e-51,1.84244765321355e-49,3.6848953064271e-48,-48.7346048422713,3.3.1,FOX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
18,FOXP3,MA0850.1,beta,delta,beta_vs_delta,0.0483494864698958,-0.672766397097038,beta,6.36424059831969e-51,1.84244765321355e-49,3.6848953064271e-48,-48.7346048422713,3.3.1,FOX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
19,FOXD1,MA0031.1,beta,delta,beta_vs_delta,0.105037867446786,-0.555805744663177,beta,2.85414590252606e-50,7.51159307982994e-49,1.65255047756259e-47,-48.1242679468297,3.3.1,FOX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
20,FOXO3,MA0157.2,beta,delta,beta_vs_delta,0.105037867446786,-0.555805744663177,beta,2.85414590252606e-50,7.51159307982994e-49,1.65255047756259e-47,-48.1242679468297,3.3.1,FOX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
21,FOXG1,MA0613.1,beta,delta,beta_vs_delta,0.153945034030511,-0.496927642011189,beta,4.34146221413967e-47,9.66810239225718e-46,2.51370662198687e-44,-45.0146587587447,3.3.1,FOX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
22,Foxj2,MA0614.1,beta,delta,beta_vs_delta,0.153945034030511,-0.496927642011189,beta,4.34146221413967e-47,9.66810239225718e-46,2.51370662198687e-44,-45.0146587587447,3.3.1,FOX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
23,FOXP1,MA0481.2,beta,delta,beta_vs_delta,0.0453788364513596,-0.643984227847465,beta,2.8446505542396e-46,5.94935684775062e-45,1.64705267090473e-43,-44.2255299809219,3.3.1,FOX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
24,Foxj3,MA0851.1,beta,delta,beta_vs_delta,-0.032365042705998,-0.657037209905425,beta,5.12248326320844e-43,9.88639269799228e-42,2.96591780939768e-40,-41.0049621428957,3.3.1,FOX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
25,FOXC2,MA0846.1,beta,delta,beta_vs_delta,-0.120535693253163,-0.73942141578675,beta,5.27502569245636e-40,9.54449961228822e-39,3.05423987593223e-37,-38.0202468353498,3.3.1,FOX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
26,FOXC1,MA0032.2,beta,delta,beta_vs_delta,-0.214270455325195,-0.826267173068758,beta,3.95930619540931e-38,6.74246555041761e-37,2.29243828714199e-35,-36.1711812638297,3.3.1,FOX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
27,Foxo1,MA0480.1,beta,delta,beta_vs_delta,0.0694428601366786,-0.490008293878585,beta,8.20476863719975e-37,1.31960028914963e-35,4.75056104093866e-34,-34.8795575979645,3.3.1,FOX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
28,NEUROD2,MA0668.1,alpha,gamma,alpha_vs_gamma,0.40561012405677,-0.557297231547668,alpha,2.04124537823087e-32,1.96980178999279e-30,1.18188107399568e-29,-29.705577472236,1.2.3,Tal-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
29,Atoh1,MA0461.2,alpha,gamma,alpha_vs_gamma,0.400002495327422,-0.506736831912996,alpha,1.88355646474302e-31,1.55797027583744e-29,1.09057919308621e-28,-28.8074408323906,1.2.3,Tal-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
30,GLIS3,MA0737.1,beta,delta,beta_vs_delta,0.246401451525649,-0.215101774234904,beta,6.89471942278262e-30,9.07282396770713e-29,3.99204254579114e-27,-28.0422575152877,2.3.3,More than 3 adjacent zinc fingers,2.3,C2H2 zinc finger factors,2,Zinc-coordinating DNA-binding domains
31,OLIG1,MA0826.1,alpha,gamma,alpha_vs_gamma,0.406865875101968,-0.435396949503757,alpha,3.77734920398824e-29,2.73385648638649e-27,2.18708518910919e-26,-26.5632242874296,1.2.3,Tal-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
32,BHLHE22,MA0818.1,alpha,gamma,alpha_vs_gamma,0.410726325744029,-0.415645726675844,alpha,3.44865732813017e-28,2.21863621443041e-26,1.99677259298737e-25,-25.6539139023725,1.2.3,Tal-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
33,Foxa2,MA0047.2,beta,delta,beta_vs_delta,-0.149982025926788,-0.76781189552832,beta,4.63410031058552e-27,5.70881719112557e-26,2.68314407982902e-24,-25.2434538638345,3.3.1,FOX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
34,Foxd3,MA0041.1,beta,delta,beta_vs_delta,-0.0382298935509321,-0.47160374224413,beta,1.1869307380596e-26,1.4317352027844e-25,6.8723289733651e-24,-24.8441372966954,3.3.1,FOX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
35,FOXF2,MA0030.1,beta,delta,beta_vs_delta,0.0056868190255616,-0.445895069688075,beta,3.16501175517353e-26,3.66508361249094e-25,1.83254180624547e-23,-24.4359161132386,3.3.1,FOX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
36,BHLHE23,MA0817.1,alpha,gamma,alpha_vs_gamma,0.427621869415413,-0.335219629122385,alpha,7.97984777897393e-27,4.6203318640259e-25,4.6203318640259e-24,-24.3353268293056,1.2.3,Tal-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
37,Twist2,MA0633.1,alpha,gamma,alpha_vs_gamma,0.359927472450118,-0.459142124023712,alpha,1.41278230971385e-26,7.436372339312e-25,8.1800095732432e-24,-24.1286388732223,1.2.3,Tal-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
38,FOXB1,MA0845.1,beta,delta,beta_vs_delta,-0.285622456275057,-0.784903444748619,beta,7.40624882594842e-26,8.40827072592968e-25,4.28821807022414e-23,-24.0752933135254,3.3.1,FOX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
39,NFIA,MA0670.1,beta,delta,beta_vs_delta,0.238864284547433,-0.192245105807955,beta,1.1274029528912e-24,1.20882649948889e-23,6.52766309724002e-22,-22.9176360281068,7.1.2,NF-1,7.1,SMAD/NF-1 DNA-binding domain factors,7,beta-Hairpin exposed by an alpha/beta-scaffold
40,OLIG2,MA0678.1,alpha,gamma,alpha_vs_gamma,0.391386334625387,-0.363330200578177,alpha,2.91701789662978e-25,1.40746113512387e-23,1.68895336214864e-22,-22.8515635886857,1.2.3,Tal-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
41,OLIG3,MA0827.1,alpha,gamma,alpha_vs_gamma,0.398703656382195,-0.300071049784001,alpha,1.93079168596784e-24,8.59944912442599e-23,1.11792838617538e-21,-22.0655293685105,1.2.3,Tal-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
42,NFATC2,MA0152.1,beta,delta,beta_vs_delta,0.0440588556130449,-0.374246956991349,beta,1.67863356279414e-23,1.70513830325931e-22,9.71928832857808e-21,-21.7682403897469,6.1.3,NFAT-related,6.1,Rel homology region (RHR) factors,6,Immunoglobulin fold
43,Nr5a2,MA0505.1,beta,delta,beta_vs_delta,0.101000398832625,-0.300356132651004,beta,2.24443259116843e-23,2.24056287980434e-22,1.29952647028652e-20,-21.649642863414,2.1.5,FTZF1related(NR5A),2.1,Nuclear receptors with C4 zinc fingers,2,Zinc-coordinating DNA-binding domains
44,Esrrg,MA0643.1,beta,delta,beta_vs_delta,0.128679534418602,-0.27297118034767,beta,3.78681063041383e-23,3.71620907628747e-22,2.19256335500961e-20,-21.4298998603071,2.1.1,Steroid hormone receptors,2.1,Nuclear receptors with C4 zinc fingers,2,Zinc-coordinating DNA-binding domains
45,NR2F1,MA0017.2,alpha,gamma,alpha_vs_gamma,0.087273883720003,-0.600638741082806,alpha,1.03774699438679e-23,4.29182506964251e-22,6.00855509749951e-21,-21.3673579877399,2.1.3,RXR-related receptors,2.1,Nuclear receptors with C4 zinc fingers,2,Zinc-coordinating DNA-binding domains
46,GLIS2,MA0736.1,beta,delta,beta_vs_delta,0.179159386832547,-0.18647031220556,beta,1.32002170074305e-22,1.27382094121704e-21,7.64292564730226e-20,-20.8948916157265,2.3.3,More than 3 adjacent zinc fingers,2.3,C2H2 zinc finger factors,2,Zinc-coordinating DNA-binding domains
47,Neurog1,MA0623.1,alpha,gamma,alpha_vs_gamma,0.363846238778052,-0.374335489519976,alpha,1.71447841880736e-22,5.514905580497e-21,9.9268300448946e-20,-20.2584619186218,1.2.3,Tal-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
48,FOXA1,MA0148.3,beta,delta,beta_vs_delta,-0.176810799726036,-0.719139573308342,beta,8.95058753888818e-22,8.22601616669247e-21,5.18239018501625e-19,-20.0848104413016,3.3.1,FOX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
49,BACH2,MA1101.1,alpha,gamma,alpha_vs_gamma,-1.174564888156,-2.5758200187025,alpha,6.15527039285233e-21,1.69709597974357e-19,3.5639015574615e-18,-18.7702935953404,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
50,Bach1::Mafk,MA0591.1,alpha,gamma,alpha_vs_gamma,-0.808871477729655,-1.89488309182275,alpha,6.82270672494877e-21,1.79561236079334e-19,3.95034719374534e-18,-18.7457874136258,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
50,Bach1::Mafk,MA0591.1,alpha,gamma,alpha_vs_gamma,-0.808871477729655,-1.89488309182275,alpha,6.82270672494877e-21,1.79561236079334e-19,3.95034719374534e-18,-18.7457874136258,1.1.3,Maf-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
51,MEF2B,MA0660.1,beta,delta,beta_vs_delta,0.0630415960884522,-0.362091691944668,beta,7.82484447407399e-19,6.66262492718947e-18,4.53058495048884e-16,-17.1763546346738,5.1.1,Regulators of differentiation,5.1,MADS box factors,5,alpha-Helices exposed by beta-structures
52,Bhlha15,MA0607.1,alpha,gamma,alpha_vs_gamma,0.361915641472875,-0.315354039035977,alpha,2.86134744878763e-19,7.20313118629582e-18,1.65672017284804e-16,-17.1424786756071,1.2.3,Tal-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
53,ESRRB,MA0141.3,beta,delta,beta_vs_delta,0.107704277587952,-0.246681518947773,beta,9.1672649680689e-19,7.69253103842303e-18,5.30784641651189e-16,-17.1139307427518,2.1.1,Steroid hormone receptors,2.1,Nuclear receptors with C4 zinc fingers,2,Zinc-coordinating DNA-binding domains
54,MAFK,MA0496.2,beta,delta,beta_vs_delta,0.0503111239890149,-0.464755144510575,beta,1.23871966791461e-18,1.02459812531794e-17,7.1721868772256e-16,-16.9894464430769,1.1.3,Maf-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
55,NR2F2,MA1111.1,alpha,gamma,alpha_vs_gamma,0.114123800239501,-0.477958087875778,alpha,9.15107114195936e-19,2.2076959129977e-17,5.29847019119447e-16,-16.6560607463422,2.1.3,RXR-related receptors,2.1,Nuclear receptors with C4 zinc fingers,2,Zinc-coordinating DNA-binding domains
56,NFIX,MA0671.1,beta,delta,beta_vs_delta,0.223589044249002,-0.140407781180182,beta,3.37057679144177e-18,2.67337529074628e-17,1.95156396224478e-15,-16.5729400703271,7.1.2,NF-1,7.1,SMAD/NF-1 DNA-binding domain factors,7,beta-Hairpin exposed by an alpha/beta-scaffold
57,MAF::NFE2,MA0501.1,alpha,gamma,alpha_vs_gamma,-0.929720828009807,-1.95747767930627,alpha,1.35467222559816e-18,3.13742087448534e-17,7.84355218621334e-16,-16.5034272182464,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
57,MAF::NFE2,MA0501.1,alpha,gamma,alpha_vs_gamma,-0.929720828009807,-1.95747767930627,alpha,1.35467222559816e-18,3.13742087448534e-17,7.84355218621334e-16,-16.5034272182464,1.1.3,Maf-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
58,MAFF,MA0495.2,beta,delta,beta_vs_delta,0.0511647923203714,-0.446343789064476,beta,5.7875711702318e-18,4.46800494341895e-17,3.35100370756421e-15,-16.349886355051,1.1.3,Maf-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
59,ZIC4,MA0751.1,beta,delta,beta_vs_delta,0.165213635771834,-0.148560581418086,beta,1.00470150108358e-17,7.65423906746566e-17,5.8172216912739e-15,-16.1160979774317,2.3.3,More than 3 adjacent zinc fingers,2.3,C2H2 zinc finger factors,2,Zinc-coordinating DNA-binding domains
60,MEF2C,MA0497.1,beta,delta,beta_vs_delta,0.0490614620578145,-0.341040236884443,beta,1.73862648383894e-17,1.29059581300352e-16,1.00666473414275e-14,-15.8892097481801,5.1.1,Regulators of differentiation,5.1,MADS box factors,5,alpha-Helices exposed by beta-structures
61,Nfe2l2,MA0150.2,alpha,gamma,alpha_vs_gamma,-0.811382131612264,-1.74349653439468,alpha,7.63212147697851e-18,1.63666605006317e-16,4.41899833517056e-15,-15.7860399262143,1.1.1,Jun-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
62,PKNOX1,MA0782.1,beta,delta,beta_vs_delta,0.0672874489998329,-0.281084455430383,beta,1.47648378128709e-16,1.04254159678686e-15,8.54884109365228e-14,-14.9819066079181,3.1.4,TALE-type HD,3.1,Homeo domain factors,3,Helix-turn-helix domains
63,NR2F1,MA0017.2,beta,delta,beta_vs_delta,-0.0747170752640699,-0.42549531458794,beta,1.83847470437487e-16,1.26723434980125e-15,1.06447685383305e-13,-14.8971430635584,2.1.3,RXR-related receptors,2.1,Nuclear receptors with C4 zinc fingers,2,Zinc-coordinating DNA-binding domains
64,NKX2-8,MA0673.1,beta,delta,beta_vs_delta,0.121853368323561,-0.214148489966624,beta,1.38895593445671e-15,8.37714047969202e-15,8.04205486050434e-13,-14.0769042016349,3.1.2,NK,3.1,Homeo domain factors,3,Helix-turn-helix domains
65,Nkx2-5(var.2),MA0503.1,beta,delta,beta_vs_delta,0.053632347242164,-0.262117424732728,beta,1.66760506559516e-15,9.95405497917111e-15,9.65543332979597e-13,-14.0019999648493,3.1.2,NK,3.1,Homeo domain factors,3,Helix-turn-helix domains
66,NEUROG2,MA0669.1,alpha,gamma,alpha_vs_gamma,0.151136887084703,-0.45239095586638,alpha,2.12940952924115e-15,4.25147626700215e-14,1.23292811743062e-12,-13.3714602409409,1.2.3,Tal-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
67,Arnt,MA0004.1,alpha,gamma,alpha_vs_gamma,0.157430397493768,-0.354999045403463,alpha,4.48014097089577e-15,8.36774716822145e-14,2.59400162214865e-12,-13.0773914505018,1.2.5,PAS,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
68,MEF2D,MA0773.1,beta,delta,beta_vs_delta,0.0348183722131869,-0.328750558214246,beta,1.56926090672934e-14,8.5717175943046e-14,9.08602064996287e-12,-13.0669321457561,5.1.1,Regulators of differentiation,5.1,MADS box factors,5,alpha-Helices exposed by beta-structures
69,USF1,MA0093.2,alpha,gamma,alpha_vs_gamma,-0.112843276355299,-0.667340505480413,alpha,9.6161218368586e-15,1.63756898339445e-13,5.56773454354113e-12,-12.7858003960833,1.2.6,bHLH-ZIP,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
70,Nr2e1,MA0676.1,beta,delta,beta_vs_delta,0.0228395366061347,-0.27916669870321,beta,5.05389300678948e-14,2.70944819530658e-13,2.92620405093111e-11,-12.5671191482897,2.1.3,RXR-related receptors,2.1,Nuclear receptors with C4 zinc fingers,2,Zinc-coordinating DNA-binding domains
71,PKNOX2,MA0783.1,beta,delta,beta_vs_delta,0.0935293466297784,-0.216614892279752,beta,6.36259654890687e-14,3.37976458882301e-13,3.68394340181708e-11,-12.4711135486382,3.1.4,TALE-type HD,3.1,Homeo domain factors,3,Helix-turn-helix domains
72,HLTF,MA0109.1,alpha,gamma,alpha_vs_gamma,0.342483351775455,-0.146407154276914,alpha,2.26611521315745e-14,3.74880202405189e-13,1.31208070841816e-11,-12.4261074942629,"","",,"",,""
73,MEF2A,MA0052.3,beta,delta,beta_vs_delta,0.031474169143639,-0.320306408347874,beta,9.08494273716392e-14,4.73890256289902e-13,5.26018184481791e-11,-12.3243222207858,5.1.1,Regulators of differentiation,5.1,MADS box factors,5,alpha-Helices exposed by beta-structures
74,TGIF2,MA0797.1,beta,delta,beta_vs_delta,0.0907750566156155,-0.220177264779729,beta,3.42242767299053e-13,1.70826346781165e-12,1.98158562266152e-10,-11.767445146649,3.1.4,TALE-type HD,3.1,Homeo domain factors,3,Helix-turn-helix domains
75,NR4A1,MA1112.1,alpha,gamma,alpha_vs_gamma,0.246993193946958,-0.260452726702966,alpha,1.38712221012706e-13,2.23095488795436e-12,8.03143759663568e-11,-11.651509211478,2.1.4,NGFI(NR4A),2.1,Nuclear receptors with C4 zinc fingers,2,Zinc-coordinating DNA-binding domains
76,TGIF1,MA0796.1,beta,delta,beta_vs_delta,0.0641225617107131,-0.2217501598402,beta,5.11807393268034e-13,2.49022252690918e-12,2.96336480702192e-10,-11.6037618425064,3.1.4,TALE-type HD,3.1,Homeo domain factors,3,Helix-turn-helix domains
77,Hic1,MA0739.1,beta,delta,beta_vs_delta,0.191835580150066,-0.0996673881684292,beta,5.47163737553032e-13,2.64006503369338e-12,3.16807804043206e-10,-11.5783853748626,2.3.4,Factors with multiple dispersed zinc fingers,2.3,C2H2 zinc finger factors,2,Zinc-coordinating DNA-binding domains
78,NR4A2,MA0160.1,beta,delta,beta_vs_delta,-0.0560575847393449,-0.324734414090128,beta,1.44834061933457e-12,6.81779852516031e-12,8.38589218594718e-10,-11.1663558368859,2.1.4,NGFI(NR4A),2.1,Nuclear receptors with C4 zinc fingers,2,Zinc-coordinating DNA-binding domains
79,PKNOX1,MA0782.1,alpha,gamma,alpha_vs_gamma,0.0258662941510632,-0.443394469951543,alpha,6.73220335798009e-13,1.02577519586065e-11,3.89794574427047e-10,-10.9889478067628,3.1.4,TALE-type HD,3.1,Homeo domain factors,3,Helix-turn-helix domains
80,NR1H2::RXRA,MA0115.1,alpha,gamma,alpha_vs_gamma,0.388201788379729,-0.0768654424598421,alpha,1.08464932601648e-12,1.57002989940886e-11,6.28011959763545e-10,-10.8040920768744,2.1.3,RXR-related receptors,2.1,Nuclear receptors with C4 zinc fingers,2,Zinc-coordinating DNA-binding domains
80,NR1H2::RXRA,MA0115.1,alpha,gamma,alpha_vs_gamma,0.388201788379729,-0.0768654424598421,alpha,1.08464932601648e-12,1.57002989940886e-11,6.28011959763545e-10,-10.8040920768744,2.1.2,Thyroid hormone receptor-related factors,2.1,Nuclear receptors with C4 zinc fingers,2,Zinc-coordinating DNA-binding domains
81,Srebf1(var.2),MA0829.1,alpha,gamma,alpha_vs_gamma,0.0574007281667,-0.41366993898685,alpha,1.07025737990615e-12,1.57002989940886e-11,6.19679022965663e-10,-10.8040920768744,1.2.6,bHLH-ZIP,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
82,FOSL1,MA0477.1,alpha,gamma,alpha_vs_gamma,-1.56783386272053,-2.85525169262044,alpha,4.3949721294304e-12,5.91788107660512e-11,2.5446888629402e-09,-10.2278337664976,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
83,DMRT3,MA0610.1,alpha,gamma,alpha_vs_gamma,0.161052121162304,-0.271914454229307,alpha,1.50170809301124e-11,1.89019344750762e-10,8.69488985853506e-09,-9.72349374668079,2.5.1,DMRT,2.5,DM-type intertwined zinc finger factors,2,Zinc-coordinating DNA-binding domains
84,NR2F2,MA1111.1,beta,delta,beta_vs_delta,-0.086276243687728,-0.361901601884812,beta,4.76568997050777e-11,2.09040491888182e-10,2.759334492924e-08,-9.67976958135157,2.1.3,RXR-related receptors,2.1,Nuclear receptors with C4 zinc fingers,2,Zinc-coordinating DNA-binding domains
85,PBX2,MA1113.1,alpha,gamma,alpha_vs_gamma,0.393381771882902,-0.0655491083750156,alpha,6.73539510897946e-11,7.22184031129465e-10,3.89979376809911e-08,-9.14135211888486,3.1.4,TALE-type HD,3.1,Homeo domain factors,3,Helix-turn-helix domains
86,Nr2f6(var.2),MA0728.1,alpha,gamma,alpha_vs_gamma,0.213673181864778,-0.25077467017179,alpha,7.22180318973711e-11,7.58148842151561e-10,4.18142404685779e-08,-9.12024552394659,2.1.3,RXR-related receptors,2.1,Nuclear receptors with C4 zinc fingers,2,Zinc-coordinating DNA-binding domains
87,BHLHE40,MA0464.2,alpha,gamma,alpha_vs_gamma,0.230936903692259,-0.218906936796591,alpha,7.33270037314118e-11,7.58148842151561e-10,4.24563351604874e-08,-9.12024552394659,1.2.4,Hairy-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
88,TAL1::TCF3,MA0091.1,alpha,gamma,alpha_vs_gamma,-0.0136048777016217,-0.495751941092992,alpha,8.57207709986312e-11,8.55729765658749e-10,4.96323264082075e-08,-9.06766336127176,1.2.3,Tal-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
88,TAL1::TCF3,MA0091.1,alpha,gamma,alpha_vs_gamma,-0.0136048777016217,-0.495751941092992,alpha,8.57207709986312e-11,8.55729765658749e-10,4.96323264082075e-08,-9.06766336127176,1.2.1,E2A,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
89,Klf12,MA0742.1,alpha,gamma,alpha_vs_gamma,0.0873060696518055,-0.362926263843216,alpha,8.97603869651527e-11,8.80868882251245e-10,5.19712640528234e-08,-9.05508873171576,2.3.1,Three-zinc finger Krüppel-related,2.3,C2H2 zinc finger factors,2,Zinc-coordinating DNA-binding domains
90,ZIC3,MA0697.1,beta,delta,beta_vs_delta,0.135417422944596,-0.105547247462554,beta,2.27042020129734e-10,9.59542552227123e-10,1.31457329655116e-07,-9.01793576111854,2.3.3,More than 3 adjacent zinc fingers,2.3,C2H2 zinc finger factors,2,Zinc-coordinating DNA-binding domains
91,Zfx,MA0146.2,beta,delta,beta_vs_delta,0.00437042339895781,-0.202830136936312,beta,2.91707691062484e-10,1.22390400815347e-09,1.68898753125178e-07,-8.91225264294541,2.3.3,More than 3 adjacent zinc fingers,2.3,C2H2 zinc finger factors,2,Zinc-coordinating DNA-binding domains
92,NFKB1,MA0105.4,alpha,gamma,alpha_vs_gamma,0.2252504757567,-0.235055185297101,alpha,3.39796333959316e-10,2.93644891585737e-09,1.96742077362444e-07,-8.53217754999018,6.1.1,NFkappaB-related,6.1,Rel homology region (RHR) factors,6,Immunoglobulin fold
93,FOS,MA0476.1,alpha,gamma,alpha_vs_gamma,-1.53973615040631,-2.63872370717547,alpha,3.79481070713065e-10,3.18434115859224e-09,2.19719539942865e-07,-8.4969804097293,1.1.2,Fos-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
94,PBX3,MA1114.1,alpha,gamma,alpha_vs_gamma,0.0590349095129,-0.389801736057794,alpha,4.2137877913472e-10,3.38858768220837e-09,2.43978313119003e-07,-8.46998127218816,3.1.4,TALE-type HD,3.1,Homeo domain factors,3,Helix-turn-helix domains
