motif,jaspar.id,x,y,test,mean_x,mean_y,enrichedIn,pval,FDR,padj,family.id,family.name,class.id,class.name,superclass.id,superclass.name
RFX5,MA0510.2,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.196158127055,-0.711137981760336,alpha_1,1.8134002947669e-90,1.363582819052e-89,1.04995877067004e-87,3.3.3,RFX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
SNAI2,MA0745.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.368059382420607,-0.47871725014431,alpha_1,1.00230143205332e-89,7.34598138175789e-89,5.80332529158873e-87,2.3.3,More than 3 adjacent zinc fingers,2.3,C2H2 zinc finger factors,2,Zinc-coordinating DNA-binding domains
STAT1,MA0137.3,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.287293311200521,-0.568097482879926,alpha_1,4.77456165212456e-88,3.45558899572515e-87,2.76447119658012e-85,6.2.1,STAT,6.2,STAT domain factors,6,Immunoglobulin fold
Foxa2,MA0047.2,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.557749610395407,-0.633974398000913,alpha_1,6.08753723766385e-85,4.29839519586265e-84,3.52468406060737e-82,3.3.1,FOX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
GATA1::TAL1,MA0140.2,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.784312463686472,0.0771544400591622,alpha_1,1.95538060633026e-78,1.28655155802866e-77,1.13216537106522e-75,1.2.3,Tal-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
GATA1::TAL1,MA0140.2,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.784312463686472,0.0771544400591622,alpha_1,1.95538060633026e-78,1.28655155802866e-77,1.13216537106522e-75,2.2.1,C4-GATA-related,2.2,Other C4 zinc finger-type factors,2,Zinc-coordinating DNA-binding domains
IRF2,MA0051.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.371261233263774,-0.396263304093244,alpha_1,7.65981469915718e-77,4.92781412312445e-76,4.43503271081201e-74,3.5.3,IRF,3.5,Tryptophan cluster factors,3,Helix-turn-helix domains
TFAP4,MA0691.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.0464636816615096,-0.679635696819991,alpha_1,3.32767211905816e-74,2.04970442227093e-73,1.92672215693468e-71,1.2.6,bHLH-ZIP,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
TWIST1,MA1123.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,-0.00196178719815181,-0.665811068506628,alpha_1,1.45113717540499e-70,8.40208424559488e-70,8.40208424559488e-68,1.2.3,Tal-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
NFIC,MA0161.2,alpha_1,alpha_2,alpha_1.vs.alpha_2,-0.27969446801739,-0.992940574247912,alpha_1,5.47314704619323e-69,3.04706936514027e-68,3.16895213974588e-66,7.1.2,NF-1,7.1,SMAD/NF-1 DNA-binding domain factors,7,beta-Hairpin exposed by an alpha/beta-scaffold
RFX3,MA0798.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.185833498197388,-0.588524517307888,alpha_1,8.377648002591e-68,4.53332541448616e-67,4.85065819350019e-65,3.3.3,RFX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
NFATC2,MA0152.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.0551987169375915,-0.567726755371315,alpha_1,1.31418291945708e-67,7.04548065153381e-67,7.60911910365651e-65,6.1.3,NFAT-related,6.1,Rel homology region (RHR) factors,6,Immunoglobulin fold
TCF3,MA0522.2,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.316635701314339,-0.346332982898641,alpha_1,8.1517336224887e-67,4.3301410710284e-66,4.71985376742096e-64,1.2.1,E2A,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
Mafb,MA0117.2,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.396766819172987,-0.276332529922792,alpha_1,2.38847756416378e-65,1.23475759790253e-64,1.38292850965083e-62,1.1.3,Maf-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
OLIG1,MA0826.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.511280262997067,-0.120899546089323,alpha_1,8.55052730878638e-65,4.38119939096222e-64,4.95075531178731e-62,1.2.3,Tal-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
ZEB1,MA0103.3,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.202006047823782,-0.428782834651508,alpha_1,1.90449363129318e-64,9.67282291683115e-64,1.10270181251875e-61,3.1.8,HD-ZF,3.1,Homeo domain factors,3,Helix-turn-helix domains
EWSR1-FLI1,MA0149.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,-0.0139190268653469,-0.60752317015937,alpha_1,3.06975489328595e-62,1.5191351138569e-61,1.77738808321257e-59,3.5.2,Ets-related,3.5,Tryptophan cluster factors,3,Helix-turn-helix domains
NFAT5,MA0606.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.175032108408758,-0.416861210421691,alpha_1,6.03869124977101e-62,2.96305274035374e-61,3.49640223361742e-59,6.1.3,NFAT-related,6.1,Rel homology region (RHR) factors,6,Immunoglobulin fold
NEUROD2,MA0668.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.505287465337517,-0.0982117635657793,alpha_1,2.91821338908824e-61,1.40803796023507e-60,1.68964555228209e-58,1.2.3,Tal-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
BHLHE23,MA0817.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.528534196057391,-0.0824422859872243,alpha_1,3.23640625464521e-61,1.53879874779561e-60,1.87387922143957e-58,1.2.3,Tal-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
RFX2,MA0600.2,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.163691463310604,-0.561034254615699,alpha_1,1.39265030697448e-60,6.55564656697742e-60,8.06344527738223e-58,3.3.3,RFX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
BHLHE22,MA0818.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.509423552229133,-0.0881415444450419,alpha_1,2.26432919611581e-58,1.02425515980551e-57,1.31104660455106e-55,1.2.3,Tal-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
OLIG2,MA0678.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.485214757584778,-0.0828720330301165,alpha_1,5.68870366217794e-56,2.43982179288965e-55,3.29375942040103e-53,1.2.3,Tal-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
Atoh1,MA0461.2,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.497275944349298,-0.091668852162895,alpha_1,1.3280485360594e-55,5.6539713410176e-55,7.68940102378394e-53,1.2.3,Tal-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
TCF4,MA0830.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.328592097211455,-0.273421782770167,alpha_1,2.43920091837214e-54,1.00878380838391e-53,1.41229733173747e-51,1.2.1,E2A,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
Bhlha15,MA0607.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.459761992085791,-0.132651453007795,alpha_1,3.17200126740947e-54,1.30254520129793e-53,1.83658873383008e-51,1.2.3,Tal-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
ID4,MA0824.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.232843984261201,-0.385762801349048,alpha_1,3.57796993180323e-53,1.43864207674588e-52,2.07164459051407e-50,1.2.8,HLH only,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
IRF3,MA1418.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.313347977833953,-0.276332901056658,alpha_1,3.843895053159e-52,1.52439399710894e-51,2.22561523577906e-49,3.5.3,IRF,3.5,Tryptophan cluster factors,3,Helix-turn-helix domains
Nkx2-5(var.2),MA0503.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.0755081989352465,-0.443245369572128,alpha_1,8.1034525968911e-51,3.10721791629136e-50,4.69189905359995e-48,3.1.2,NK,3.1,Homeo domain factors,3,Helix-turn-helix domains
RFX4,MA0799.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.164938403729607,-0.470969127420709,alpha_1,1.04256194052014e-48,3.89447331329782e-48,6.03643363561162e-46,3.3.3,RFX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
OLIG3,MA0827.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.484998906354801,-0.0374780793605465,alpha_1,1.57020046551e-48,5.82785942006595e-48,9.09146069530287e-46,1.2.3,Tal-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
Stat5a::Stat5b,MA0519.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.153772823681907,-0.423600612168732,alpha_1,4.34178922572416e-48,1.5910733934774e-47,2.51389596169429e-45,6.2.1,STAT,6.2,STAT domain factors,6,Immunoglobulin fold
ELF5,MA0136.2,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.603232090339909,-0.184750695518973,alpha_1,8.05338763800504e-48,2.93264870591504e-47,4.66291144240492e-45,3.5.2,Ets-related,3.5,Tryptophan cluster factors,3,Helix-turn-helix domains
ELF3,MA0640.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.479807638187846,-0.239050727877218,alpha_1,1.08959387965765e-47,3.94296785201113e-47,6.30874856321781e-45,3.5.2,Ets-related,3.5,Tryptophan cluster factors,3,Helix-turn-helix domains
Bcl6,MA0463.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.154663772901017,-0.370190770686553,alpha_1,2.22067881039149e-47,7.98616789575572e-47,1.28577303121667e-44,2.3.3,More than 3 adjacent zinc fingers,2.3,C2H2 zinc finger factors,2,Zinc-coordinating DNA-binding domains
IRF8,MA0652.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.38109542430986,-0.171062094947711,alpha_1,6.49727943388904e-46,2.30792932038144e-45,3.76192479222175e-43,3.5.3,IRF,3.5,Tryptophan cluster factors,3,Helix-turn-helix domains
ZBTB18,MA0698.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.0377606025125236,-0.488312509932174,alpha_1,1.07738317625648e-45,3.75786059670181e-45,6.23804859052501e-43,2.3.3,More than 3 adjacent zinc fingers,2.3,C2H2 zinc finger factors,2,Zinc-coordinating DNA-binding domains
SPIB,MA0081.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.0511412195446303,-0.471668711770952,alpha_1,5.86650566488805e-45,1.99806281174717e-44,3.39670677997018e-42,3.5.2,Ets-related,3.5,Tryptophan cluster factors,3,Helix-turn-helix domains
FOXB1,MA0845.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.622834008659828,-0.072484353154952,alpha_1,1.40224421611959e-44,4.74794971422948e-44,8.11899401133241e-42,3.3.1,FOX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
MZF1,MA0056.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.0596759053169238,-0.363280454632454,alpha_1,3.45823525615766e-44,1.14418183618016e-43,2.00231821331528e-41,2.3.3,More than 3 adjacent zinc fingers,2.3,C2H2 zinc finger factors,2,Zinc-coordinating DNA-binding domains
THAP1,MA0597.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.116081739947506,-0.38082713369209,alpha_1,2.31080806733333e-43,7.51661725273031e-43,1.337957870986e-40,2.9.1,THAP,2.9,C2CH THAP-type zinc finger factors,2,Zinc-coordinating DNA-binding domains
STAT1::STAT2,MA0517.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.15959757290208,-0.359052899148406,alpha_1,1.5023701576146e-41,4.8059244268445e-41,8.69872321258854e-39,6.2.1,STAT,6.2,STAT domain factors,6,Immunoglobulin fold
Twist2,MA0633.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.440035345827293,-0.0449799965867975,alpha_1,5.61644580625832e-41,1.78677039660636e-40,3.25192212182357e-38,1.2.3,Tal-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
FOXC1,MA0032.2,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.518279914585661,-0.123600629439572,alpha_1,1.45148324870638e-39,4.51832688710212e-39,8.40408801000994e-37,3.3.1,FOX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
Nr2e3,MA0164.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.132800969588917,-0.323378623970008,alpha_1,5.07731477113641e-39,1.56370492153616e-38,2.93976525248798e-36,2.1.3,RXR-related receptors,2.1,Nuclear receptors with C4 zinc fingers,2,Zinc-coordinating DNA-binding domains
REST,MA0138.2,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.0777479969612879,-0.359903530449031,alpha_1,9.07063749693076e-38,2.73536412016818e-37,5.25189911072291e-35,2.3.4,Factors with multiple dispersed zinc fingers,2.3,C2H2 zinc finger factors,2,Zinc-coordinating DNA-binding domains
Hnf4a,MA0114.3,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.994692429382413,0.396530153092924,alpha_1,9.70759536108982e-37,2.88843668452804e-36,5.620697714071e-34,2.1.3,RXR-related receptors,2.1,Nuclear receptors with C4 zinc fingers,2,Zinc-coordinating DNA-binding domains
HNF4G,MA0484.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,1.02870689613073,0.430891652558009,alpha_1,2.68177691749376e-36,7.84216583448934e-36,1.55274883522889e-33,2.1.3,RXR-related receptors,2.1,Nuclear receptors with C4 zinc fingers,2,Zinc-coordinating DNA-binding domains
Nkx3-1,MA0124.2,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.0910278977107176,-0.349451850336241,alpha_1,7.85695875541941e-36,2.27458955969392e-35,4.54917911938784e-33,3.1.2,NK,3.1,Homeo domain factors,3,Helix-turn-helix domains
MAFG,MA0659.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.397056416897189,-0.0951755315991885,alpha_1,2.09271586451735e-34,5.96887923918989e-34,1.21168248555555e-31,1.1.3,Maf-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
EHF,MA0598.2,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.452678777354779,-0.137134661012925,alpha_1,3.74833080154623e-34,1.05353569616275e-33,2.17028353409526e-31,3.5.2,Ets-related,3.5,Tryptophan cluster factors,3,Helix-turn-helix domains
SOX8,MA0868.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.189961379598071,-0.221437864241684,alpha_1,1.71251626592212e-33,4.74424362664548e-33,9.91546917968906e-31,4.1.1,SOX-related,4.1,High-mobility group (HMG) domain factors,4,Other all-alpha-helical DNA-binding domains
NFATC3,MA0625.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.0685260364057258,-0.349681146067751,alpha_1,3.50004940440811e-33,9.60440097228575e-33,2.02652860515229e-30,6.1.3,NFAT-related,6.1,Rel homology region (RHR) factors,6,Immunoglobulin fold
NKX2-3,MA0672.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.0459263146574211,-0.378307369669244,alpha_1,8.26679137461715e-33,2.25776990844497e-32,4.78647220590333e-30,3.1.2,NK,3.1,Homeo domain factors,3,Helix-turn-helix domains
NFATC1,MA0624.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.0623767759674314,-0.362746930447756,alpha_1,8.9980522009143e-33,2.44594940109361e-32,5.20987222432938e-30,6.1.3,NFAT-related,6.1,Rel homology region (RHR) factors,6,Immunoglobulin fold
IRF4,MA1419.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.334221665142141,-0.108380989772149,alpha_1,3.92167407543394e-31,1.03682615966952e-30,2.27064928967625e-28,3.5.3,IRF,3.5,Tryptophan cluster factors,3,Helix-turn-helix domains
ZNF263,MA0528.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,-0.113609955825014,-0.462843292095249,alpha_1,5.04344096964585e-31,1.29210279709069e-30,2.92015232142495e-28,2.3.3,More than 3 adjacent zinc fingers,2.3,C2H2 zinc finger factors,2,Zinc-coordinating DNA-binding domains
Arid5a,MA0602.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.180494708220962,-0.236406572891356,alpha_1,2.0677434656108e-30,5.25098011661689e-30,1.19722346658865e-27,3.7.1,ARID-related,3.7,ARID,3,Helix-turn-helix domains
RBPJ,MA1116.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.184320716744737,-0.2200153780882,alpha_1,8.51357506118805e-30,2.15255893468466e-29,4.92935996042788e-27,6.1.4,CSL-related,6.1,Rel homology region (RHR) factors,6,Immunoglobulin fold
IRF9,MA0653.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.288494103536774,-0.142632409424667,alpha_1,1.35658994195546e-29,3.4150677234444e-29,7.85465576392213e-27,3.5.3,IRF,3.5,Tryptophan cluster factors,3,Helix-turn-helix domains
Neurog1,MA0623.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.430657191808488,0.0261484226329736,alpha_1,3.09939336451142e-29,7.70192600022365e-29,1.79454875805211e-26,1.2.3,Tal-related,1.2,Basic helix-loop-helix factors (bHLH),1,Basic domains
FOXH1,MA0479.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.0520469656979213,-0.346097318722354,alpha_1,3.92430118462586e-29,9.71012985426654e-29,2.27217038589837e-26,3.3.1,FOX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
SOX10,MA0442.2,alpha_1,alpha_2,alpha_1.vs.alpha_2,-0.0311763882469703,-0.425972675783597,alpha_1,5.15976185057551e-29,1.26589072520476e-28,2.98750211148322e-26,4.1.1,SOX-related,4.1,High-mobility group (HMG) domain factors,4,Other all-alpha-helical DNA-binding domains
SIX1,MA1118.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,-0.0590564946933037,-0.455960554336221,alpha_1,5.45494863417387e-29,1.33266466632349e-28,3.15841525918667e-26,3.1.6,HD-SINE,3.1,Homeo domain factors,3,Helix-turn-helix domains
FOXC2,MA0846.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.338999931552197,-0.189015724588403,alpha_1,3.34628820184453e-28,8.07292028694994e-28,1.93750086886799e-25,3.3.1,FOX,3.3,Fork head / winged helix factors,3,Helix-turn-helix domains
CTCF,MA0139.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.441871553716452,-0.0924233526729538,alpha_1,9.8195387273326e-28,2.33971725231505e-27,5.68551292312558e-25,2.3.3,More than 3 adjacent zinc fingers,2.3,C2H2 zinc finger factors,2,Zinc-coordinating DNA-binding domains
Nr2e1,MA0676.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.0538932113359481,-0.317089899560045,alpha_1,1.23962658306282e-27,2.94157291636628e-27,7.17743791593373e-25,2.1.3,RXR-related receptors,2.1,Nuclear receptors with C4 zinc fingers,2,Zinc-coordinating DNA-binding domains
Nr5a2,MA0505.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,-0.0461968902083741,-0.423542397933949,alpha_1,1.09408180056401e-26,2.53389345010626e-26,6.33473362526564e-24,2.1.5,FTZF1related(NR5A),2.1,Nuclear receptors with C4 zinc fingers,2,Zinc-coordinating DNA-binding domains
CEBPE,MA0837.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.127417153494909,-0.284560438931819,alpha_1,1.5378975158964e-26,3.49818609346016e-26,8.90442661704018e-24,1.1.8,CEBP-related,1.1,Basic leucine zipper factors (bZIP),1,Basic domains
RUNX1,MA0002.2,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.0894019177472164,-0.265400449474232,alpha_1,5.0766700350842e-26,1.13929920554796e-25,2.93939195031375e-23,6.4.1,Runt-related,6.4,Runt domain factors,6,Immunoglobulin fold
NKX3-2,MA0122.2,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.015887788004897,-0.349807377063336,alpha_1,8.63746352618174e-26,1.92349668525355e-25,5.00109138165923e-23,3.1.2,NK,3.1,Homeo domain factors,3,Helix-turn-helix domains
Spz1,MA0111.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.188551807068076,-0.169366521735506,alpha_1,2.63506986719667e-24,5.8011614186573e-24,1.52570545310687e-21,"","",,"",,""
Mecom,MA0029.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,0.430255474067303,0.0838784452741748,alpha_1,1.51105862614523e-23,3.30152054542674e-23,8.74902944538085e-21,2.3.4,Factors with multiple dispersed zinc fingers,2.3,C2H2 zinc finger factors,2,Zinc-coordinating DNA-binding domains
NKX2-8,MA0673.1,alpha_1,alpha_2,alpha_1.vs.alpha_2,-0.0424099484449323,-0.39395522411029,alpha_1,3.04710751498406e-23,6.60777247631374e-23,1.76427525117577e-20,3.1.2,NK,3.1,Homeo domain factors,3,Helix-turn-helix domains
